
"N° PA (lien EAM A010)";"Type de PA";"Discipline";"Libellé du PA";"Date échéance PA";"Site affecté";"Site PA";"Groupe responsable";"Libellé statut plan d'action";"Action.N° Action";"Sujet action";"Date échéance action";"Verrouillage date";"Site Affecté";"Site Action";"Groupe primaire ""Affecté à""";"Groupe secondaire ""Affecté à""";"Affecté à";"Statut action";"Date statut";"Etat";
"00064988 ";"DOCN";"ANA";"[DI001]- MEA FA REN 019 et NEC PNPPi632 - BLA";"08/08/17";"EDF";"BLA";"PAIDSILD";"NOUVEAU";"00064988 - 05 ";"[SP900] INTEGRATION D0900CP1600068 et D0900CP1600028 -GRA";"08/08/17";"O";"GRA";"GRA";"PAXXXDOCN";;;"NOUVEAU";"07/06/17";"Active";
"00064988 ";"DOCN";"ANA";"[DI001]- MEA FA REN 019 et NEC PNPPi632 - BLA";"08/08/17";"EDF";"BLA";"PAIDSILD";"NOUVEAU";"00064988 - 06 ";"[SP900] INTEGRATION D0900CP1600068 et D0900CP1600028 -SLB";"08/08/17";"O";"SLB";"SLB";"PIINT";;;"NOUVEAU";"07/06/17";"Active";
"00064988 ";"DOCN";"ANA";"[DI001]- MEA FA REN 019 et NEC PNPPi632 - BLA";"08/08/17";"EDF";"BLA";"PAIDSILD";"NOUVEAU";"00064988 - 07 ";"[SP900] INTEGRATION D0900CP1600068 et D0900CP1600028 -CRU";"08/08/17";"O";"CRU";"CRU";"PAIDSILD";;;"NOUVEAU";"07/06/17";"Active";
"00064988 ";"DOCN";"ANA";"[DI001]- MEA FA REN 019 et NEC PNPPi632 - BLA";"08/08/17";"EDF";"BLA";"PAIDSILD";"NOUVEAU";"00064988 - 08 ";"[SP900] INTEGRATION D0900CP1600068 et D0900CP1600028 -CHI";"08/08/17";"O";"CHI";"CHI";"PAIDSILD";;;"NOUVEAU";"07/06/17";"Active";
"00064995 ";"DOCN";" ";"[DI001]- MEA FA REN 019 et NEC PNPPi632- BLA";"08/08/17";"EDF";"BLA";"PAIDSILD";"NOUVEAU";"00064995 - 01 ";"[SP900] INTEGRATION D0900CP1600068 et D0900CP1600028 -BLA";"08/08/17";"O";"BLA";"BLA";"PAIDSILD";;;"NOUVEAU";"07/06/17";"Active";
"00064995 ";"DOCN";" ";"[DI001]- MEA FA REN 019 et NEC PNPPi632- BLA";"08/08/17";"EDF";"BLA";"PAIDSILD";"NOUVEAU";"00064995 - 02 ";"[SP900] INTEGRATION D0900CP1600068 et D0900CP1600028 -AUT";"08/08/17";"O";;"9E";"SP9-COORDO";;;"NOUVEAU";"07/06/17";"Active";
"00064995 ";"DOCN";" ";"[DI001]- MEA FA REN 019 et NEC PNPPi632- BLA";"08/08/17";"EDF";"BLA";"PAIDSILD";"NOUVEAU";"00064995 - 03 ";"[SP900] INTEGRATION D0900CP1600068 et D0900CP1600028 -DAM";"08/08/17";"O";"DAM";"DAM";"PAIDSILD";;;"NOUVEAU";"07/06/17";"Active";
"00064995 ";"DOCN";" ";"[DI001]- MEA FA REN 019 et NEC PNPPi632- BLA";"08/08/17";"EDF";"BLA";"PAIDSILD";"NOUVEAU";"00064995 - 04 ";"[SP900] INTEGRATION D0900CP1600068 et D0900CP1600028 -TRI";"08/08/17";"O";"TRI";"TRI";"PAIDSILFIA";;;"NOUVEAU";"07/06/17";"Active";
"00064995 ";"DOCN";" ";"[DI001]- MEA FA REN 019 et NEC PNPPi632- BLA";"08/08/17";"EDF";"BLA";"PAIDSILD";"NOUVEAU";"00064995 - 05 ";"[SP900] INTEGRATION D0900CP1600068 et D0900CP1600028 -GRA";"08/08/17";"O";"GRA";"GRA";"PAXXXDOCN";;;"NOUVEAU";"07/06/17";"Active";
"00064995 ";"DOCN";" ";"[DI001]- MEA FA REN 019 et NEC PNPPi632- BLA";"08/08/17";"EDF";"BLA";"PAIDSILD";"NOUVEAU";"00064995 - 06 ";"[SP900] INTEGRATION D0900CP1600068 et D0900CP1600028 -SLB";"08/08/17";"O";"SLB";"SLB";"PIINT";;;"NOUVEAU";"07/06/17";"Active";
"00064995 ";"DOCN";" ";"[DI001]- MEA FA REN 019 et NEC PNPPi632- BLA";"08/08/17";"EDF";"BLA";"PAIDSILD";"NOUVEAU";"00064995 - 07 ";"[SP900] INTEGRATION D0900CP1600068 et D0900CP1600028 -CRU";"08/08/17";"O";"CRU";"CRU";"PAIDSILD";;;"NOUVEAU";"07/06/17";"Active";
"00064995 ";"DOCN";" ";"[DI001]- MEA FA REN 019 et NEC PNPPi632- BLA";"08/08/17";"EDF";"BLA";"PAIDSILD";"NOUVEAU";"00064995 - 08 ";"[SP900] INTEGRATION D0900CP1600068 et D0900CP1600028 -CHI";"08/08/17";"O";"CHI";"CHI";"PAIDSILD";;;"NOUVEAU";"07/06/17";"Active";
"00065627 ";"DOCN";"ELE";"[DI001]-MEA RNM TPAL AM772-01 ind0 - BLA";"21/12/17";"EDF";"BLA";"APPROB DT";"APPROUVÉ";"00065627 - 01 ";"[SP900] INTEGRATION RNM TPAL AM772-01 indice 0 - BLA";"13/12/17";"O";"BLA";"BLA";"PAIDSILD";;;"NOUVEAU";"14/06/17";"Active";
"00065627 ";"DOCN";"ELE";"[DI001]-MEA RNM TPAL AM772-01 ind0 - BLA";"21/12/17";"EDF";"BLA";"APPROB DT";"APPROUVÉ";"00065627 - 02 ";"[SP900] INTEGRATION RNM TPAL AM772-01 indice 0 -EL";"13/12/17";"O";;"BLA";"SN3 MTE EL";;;"ACC/PRI";"20/06/17";"Active";
"00071762 ";"DOCN";" ";"DI001-MEA REGLES GENE SURV ENT PNPP1675 - BLA";"31/12/17";"BLA";"BLA";"SN4 ING";"APPROUVÉ";"00071762 - 03 ";"BLA - MEA REGLES GENE SURV ENT PNPPi675 TPAL - 1234C2017 ILD";"31/12/17";"O";;"BLA";"PAIDSILD";;;"NOUVEAU";"17/08/17";"Active";
"00071762 ";"DOCN";" ";"DI001-MEA REGLES GENE SURV ENT PNPP1675 - BLA";"31/12/17";"BLA";"BLA";"SN4 ING";"APPROUVÉ";"00071762 - 04 ";"BLA - MEA REGLES GENE SURV ENT PNPPi675 TPAL - 1234C2017 CHA";"31/12/17";"O";;"BLA";"SN4 ING";;;"ACC/PRI";"23/08/17";"Active";
"00071762 ";"DOCN";" ";"DI001-MEA REGLES GENE SURV ENT PNPP1675 - BLA";"31/12/17";"BLA";"BLA";"SN4 ING";"APPROUVÉ";"00071762 - 05 ";"BLA - MEA REGLES GENE SURV ENT PNPPi675 TPAL - 1234C2017 IPE";"31/12/17";"O";;"BLA";"SN3 EC";;;"NOUVEAU";"17/08/17";"Active";
"00071762 ";"DOCN";" ";"DI001-MEA REGLES GENE SURV ENT PNPP1675 - BLA";"31/12/17";"BLA";"BLA";"SN4 ING";"APPROUVÉ";"00071762 - 06 ";"BLA - MEA REGLES GENE SURV ENT PNPPi675 TPAL - 1234C2017 CDT";"31/12/17";"O";;"BLA";"SN3 CDT";;;"NOUVEAU";"17/08/17";"Active";
"00071762 ";"DOCN";" ";"DI001-MEA REGLES GENE SURV ENT PNPP1675 - BLA";"31/12/17";"BLA";"BLA";"SN4 ING";"APPROUVÉ";"00071762 - 07 ";"BLA - MEA REGLES GENE SURV ENT PNPPi675 TPAL - 1234C2017 PGD";"31/12/17";"O";;"BLA";"SN4 ING";;;"ACC/PRI";"23/08/17";"Active";
"00071779 ";"DOCN";" ";"[DI001]- MEA de la FA EPP 029 indice C - BLA";"01/01/18";"BLA";"BLA";"SN4 ING";"APPROUVÉ";"00071779 - 01 ";"[SP900] INTEGRATION D0900CP1700049 - BLA";"01/01/18";"O";"BLA";"BLA";"PAIDSILD";;;"NOUVEAU";"17/08/17";"Active";
"00071779 ";"DOCN";" ";"[DI001]- MEA de la FA EPP 029 indice C - BLA";"01/01/18";"BLA";"BLA";"SN4 ING";"APPROUVÉ";"00071779 - 02 ";"Intégrer Tranche 4";"01/01/18";"O";"BLA";"BLA";"SN4 QSPR";;;"NOUVEAU";"17/08/17";"Active";
"00071779 ";"DOCN";" ";"[DI001]- MEA de la FA EPP 029 indice C - BLA";"01/01/18";"BLA";"BLA";"SN4 ING";"APPROUVÉ";"00071779 - 03 ";"Intégrer Tranche 3";"01/01/18";"O";"BLA";"BLA";"SN4 QSPR";;;"NOUVEAU";"17/08/17";"Active";
"00071779 ";"DOCN";" ";"[DI001]- MEA de la FA EPP 029 indice C - BLA";"01/01/18";"BLA";"BLA";"SN4 ING";"APPROUVÉ";"00071779 - 04 ";"Intégrer Tranche 1";"01/01/18";"O";"BLA";"BLA";"SN4 QSPR";;"DUCHENE Dany (C00772)";"NOUVEAU";"17/08/17";"Active";
"00071779 ";"DOCN";" ";"[DI001]- MEA de la FA EPP 029 indice C - BLA";"01/01/18";"BLA";"BLA";"SN4 ING";"APPROUVÉ";"00071779 - 05 ";"Intégrer Tranche 2";"01/01/18";"O";"BLA";"BLA";"SN4 QSPR";;;"NOUVEAU";"17/08/17";"Active";
"00071779 ";"DOCN";" ";"[DI001]- MEA de la FA EPP 029 indice C - BLA";"01/01/18";"BLA";"BLA";"SN4 ING";"APPROUVÉ";"00071779 - 06 ";"Vérification d'intégration";"01/01/18";"O";"BLA";"BLA";"SN4 QSPR";;"DUCHENE Dany (C00772)";"NOUVEAU";"17/08/17";"Active";
"00071779 ";"DOCN";" ";"[DI001]- MEA de la FA EPP 029 indice C - BLA";"01/01/18";"BLA";"BLA";"SN4 ING";"APPROUVÉ";"00071779 - 07 ";"Contrôle pour solde";"01/01/18";"O";"BLA";"BLA";"SN4 QSPR";;"DUCHENE Dany (C00772)";"NOUVEAU";"17/08/17";"Active";
"00071779 ";"DOCN";" ";"[DI001]- MEA de la FA EPP 029 indice C - BLA";"01/01/18";"BLA";"BLA";"SN4 ING";"APPROUVÉ";"00071779 - 08 ";"Ident/intégrer les documents à rendre effectifs";"01/01/18";"O";"BLA";"BLA";"SN4 ECE";;"SARRAUTE Benjamin (H01354)";"NOUVEAU";"17/08/17";"Active";
"00064808 ";"DOCN";" ";"[DI001]MEA gammes mutualisées suite REX d'exploitation - BLA";"07/01/18";"EDF";"BLA";"SN3 MSR";"NOUVEAU";"00064808 - 01 ";"[SP900] INTEGRATION D0900CP 17 00010 - BLA";"07/01/18";"O";"BLA";"BLA";"PAIDSILD";;;"ANNULÉ";"06/06/17";"Close";
"00064808 ";"DOCN";" ";"[DI001]MEA gammes mutualisées suite REX d'exploitation - BLA";"07/01/18";"EDF";"BLA";"SN3 MSR";"NOUVEAU";"00064808 - 02 ";"[SP900] INTEGRATION D0900CP 17 00010 - RO";"07/01/18";"O";;"9E";"SP9-COORDO";;;"ANNULÉ";"06/06/17";"Close";
"00064808 ";"DOCN";" ";"[DI001]MEA gammes mutualisées suite REX d'exploitation - BLA";"07/01/18";"EDF";"BLA";"SN3 MSR";"NOUVEAU";"00064808 - 09 ";"[SP900] INTEGRATION D0900CP 17 00010 - AU";"07/01/18";"O";"9E";"9E";"SP9-COORDO";;;"ANNULÉ";"06/06/17";"Close";
"00064808 ";"DOCN";" ";"[DI001]MEA gammes mutualisées suite REX d'exploitation - BLA";"07/01/18";"EDF";"BLA";"SN3 MSR";"NOUVEAU";"00064808 - 10 ";"réaliser l'analyse d'impact";"07/08/17";"O";"BLA";"BLA";"SN4 MSR";;;"ANNULÉ";"06/06/17";"Close";
"00064808 ";"DOCN";" ";"[DI001]MEA gammes mutualisées suite REX d'exploitation - BLA";"07/01/18";"EDF";"BLA";"SN3 MSR";"NOUVEAU";"00064808 - 11 ";"[SP900] INTEGRATION D0900CP 17 00010 - AU";"07/01/18";"O";"9E";"9E";"SP9-COORDO";;;"ANNULÉ";"06/06/17";"Close";
"00064808 ";"DOCN";" ";"[DI001]MEA gammes mutualisées suite REX d'exploitation - BLA";"07/01/18";"EDF";"BLA";"SN3 MSR";"NOUVEAU";"00064808 - 12 ";"[SP900] INTEGRATION D0900CP 17 00010 - BLA";"01/01/18";"O";"BLA";"BLA";"PAIDSILD";;;"NOUVEAU";"06/06/17";"Active";
"00064808 ";"DOCN";" ";"[DI001]MEA gammes mutualisées suite REX d'exploitation - BLA";"07/01/18";"EDF";"BLA";"SN3 MSR";"NOUVEAU";"00064808 - 13 ";"[SP900] INTEGRATION D0900CP 17 00010 - RO";"01/01/18";"O";;"9E";"SP9-COORDO";;;"NOUVEAU";"06/06/17";"Active";
"00064808 ";"DOCN";" ";"[DI001]MEA gammes mutualisées suite REX d'exploitation - BLA";"07/01/18";"EDF";"BLA";"SN3 MSR";"NOUVEAU";"00064808 - 14 ";"[SP900] INTEGRATION D0900CP 17 00010 - AU";"01/01/18";"O";"9E";"9E";"SP9-COORDO";;;"NOUVEAU";"06/06/17";"Active";
"00064808 ";"DOCN";" ";"[DI001]MEA gammes mutualisées suite REX d'exploitation - BLA";"07/01/18";"EDF";"BLA";"SN3 MSR";"NOUVEAU";"00064808 - 15 ";"réaliser l'analyse d'impact";"01/01/18";"O";"BLA";"BLA";"SN4 ING";;;"NOUVEAU";"06/06/17";"Active";
"00064808 ";"DOCN";" ";"[DI001]MEA gammes mutualisées suite REX d'exploitation - BLA";"07/01/18";"EDF";"BLA";"SN3 MSR";"NOUVEAU";"00064808 - 16 ";"[SP900] INTEGRATION D0900CP 17 00010 - AU";"01/01/18";"O";"9E";"9E";"SP9-COORDO";;;"NOUVEAU";"06/06/17";"Active";
"00074806 ";"DOCN";" ";"[DI001]-MEA-DA PARITE MOX-BLA3-PRODUCTION MUTUALISEE";"06/06/18";;"BLA";"APPROB DT";"ANNULÉ";" -  ";;;;;;;;;;;"Active";
"00074808 ";"DOCN";"SUR";"[DI001]-MEA-DA PARITE MOX-BLA3-RGE3";"06/06/18";;"BLA";"SN4 QSPR";"NOTIFIÉ";" -  ";;;;;;;;;;;"Active";
"00075245 ";"DOCN";"SUR";"[DI001]-MEA-DA PARITE MOX-BLA3-RGE6";"06/06/18";;"BLA";"SN4 QSPR";"APPROUVÉ";"00075245 - 01 ";"Rédaction des consignes";"06/05/18";"O";"BLA";"BLA";"SN4 QSPR";;;"NOUVEAU";"10/10/17";"Active";
"00075245 ";"DOCN";"SUR";"[DI001]-MEA-DA PARITE MOX-BLA3-RGE6";"06/06/18";;"BLA";"SN4 QSPR";"APPROUVÉ";"00075245 - 02 ";"Impression PGD et mise sur tranche des consignes";"06/06/18";"O";"BLA";"BLA";"SN4 PPSI";;;"NOUVEAU";"10/10/17";"Active";
"00075247 ";"DOCN";" ";"[DI001]-MEA-DA PARITE MOX-BLA3-RGE9";"06/06/18";;"BLA";"SN4 QSPR";"NOTIFIÉ";"00075247 - 01 ";"[DI001]-INTEGRATION-DA PARITE MOX-MODIFICATIONS";;"O";"BLA";"BLA";"PAIDS";;"SAVATIER Alain (I73038)";"NOUVEAU";"28/09/17";"Active";
"00075247 ";"DOCN";" ";"[DI001]-MEA-DA PARITE MOX-BLA3-RGE9";"06/06/18";;"BLA";"SN4 QSPR";"NOTIFIÉ";"00075247 - 02 ";"[DI001]-integration-DA PARITE MOX-DECLARATION § AUTORISATION";;"O";"BLA";"BLA";"PAIDS";;"DUPRE LA TOUR Nicolas (F94257)";"NOUVEAU";"28/09/17";"Active";
"00075247 ";"DOCN";" ";"[DI001]-MEA-DA PARITE MOX-BLA3-RGE9";"06/06/18";;"BLA";"SN4 QSPR";"NOTIFIÉ";"00075247 - 03 ";"[BLA] Intégration PMOX tranche 3";"11/05/18";"O";"BLA";"BLA";"SN4 QSPR";;"QUINIO Clara (F22575)";"NOUVEAU";"29/09/17";"Active";
"00075261 ";"DOCN";"SUR";"[DI001]-MEA-DA PARITE MOX-BLA3-PUI";"06/06/18";;"BLA";"SN4 QSPR";"NOTIFIÉ";" -  ";;;;;;;;;;;"Active";
"00075262 ";"DOCN";"GMK";"[DI001]-MEA-DA PARITE MOX-BLA3-Matière NUC-Màj du REF";"06/06/18";;"BLA";"SN4 LOG";"NOTIFIÉ";" -  ";;;;;;;;;;;"Active";
"00074481 ";"DOCN";" ";"[DI001]-DA PARITE MOX-BLA3-PRODUCTION MUTUALISEE";"16/06/18";;"BLA";"PAIDS";"NOUVEAU";" -  ";;;;;;;;;;;"Active";
"00074485 ";"DOCN";"IDS";"[DI001]-MEA-DA PARITE MOX-BLA3-PRODUCTION MUTUALISEE";"16/06/18";;"BLA";"PAIDS";"NOUVEAU";" -  ";;;;;;;;;;;"Active";
"00074516 ";"DOCN";" ";"DI001]-MEA-DA PARITE MOX-BLA3-AUTRES IMPACTS ET ADHERENCES";"16/06/18";;"BLA";"PAIDS";"NOUVEAU";"00074516 - 01 ";"[DI001]-INTEGRATION-DA PARITE MOX-MODIFICATIONS";"01/12/17";"O";"BLA";"BLA";"PAIDS";;"SAVATIER Alain (I73038)";"NOUVEAU";"18/09/17";"Active";
"00074516 ";"DOCN";" ";"DI001]-MEA-DA PARITE MOX-BLA3-AUTRES IMPACTS ET ADHERENCES";"16/06/18";;"BLA";"PAIDS";"NOUVEAU";"00074516 - 02 ";"[DI001]-integration-DA PARITE MOX-FORMATIONS";"01/12/17";"O";"BLA";"BLA";"PAIDS";;"CHARLES Frederic (I53535)";"NOUVEAU";"18/09/17";"Active";
"00074516 ";"DOCN";" ";"DI001]-MEA-DA PARITE MOX-BLA3-AUTRES IMPACTS ET ADHERENCES";"16/06/18";;"BLA";"PAIDS";"NOUVEAU";"00074516 - 03 ";"[DI001]-integration-DA PARITE MOX-DECLARATION § AUTORISATION";"01/12/17";"O";"BLA";"BLA";"PAIDS";;"DUPRE LA TOUR Nicolas (F94257)";"NOUVEAU";"18/09/17";"Active";
"00061591 ";"DOCN";" ";"[DI001]- MEA de la FA04 au PB 900 AM050 07 indice 2 - BLA";"30/10/18";"EDF";"BLA";"SN4 ING";"NOUVEAU";"00061591 - 01 ";"[SP900] INTEGRATION FA04 au PB 900 AM050 07 indice 2 - BLA";"01/10/18";"O";"BLA";"BLA";"PAIDSILD";;;"NOUVEAU";"05/09/17";"Active";
"00061591 ";"DOCN";" ";"[DI001]- MEA de la FA04 au PB 900 AM050 07 indice 2 - BLA";"30/10/18";"EDF";"BLA";"SN4 ING";"NOUVEAU";"00061591 - 02 ";"[SP900] INTEGRATION FA04 au PB 900 AM050 07 indice 2 - RO";"01/10/18";"O";;"BLA";"SN4 ING";;;"NOUVEAU";"05/09/17";"Active";
"00061591 ";"DOCN";" ";"[DI001]- MEA de la FA04 au PB 900 AM050 07 indice 2 - BLA";"30/10/18";"EDF";"BLA";"SN4 ING";"NOUVEAU";"00061591 - 03 ";"réaliser AI";"01/10/17";"O";"BLA";"BLA";"SN4 ING";;;"NOUVEAU";"07/09/17";"Active";
"00076675 ";"DOCN";"SUR";"[DI001]- MEA FA DVK005indB et KRT033indB PNPP1490 BLA RGE9";"31/12/18";"EDF";"BLA";"SN4 QSPR";"NOUVEAU";"00076675 - 01 ";"[SP900] INTEGRATION D0900CP1700002 - BLA";"31/12/18";"O";"BLA";"BLA";"PAIDSILD";;;"NOUVEAU";"29/09/17";"Active";
"00076675 ";"DOCN";"SUR";"[DI001]- MEA FA DVK005indB et KRT033indB PNPP1490 BLA RGE9";"31/12/18";"EDF";"BLA";"SN4 QSPR";"NOUVEAU";"00076675 - 02 ";"[SP900] INTEGRATION D0900CP1700002 - CO";"31/12/18";"O";;"9E";"SP9-COORDO";;;"NOUVEAU";"29/09/17";"Active";
"00076675 ";"DOCN";"SUR";"[DI001]- MEA FA DVK005indB et KRT033indB PNPP1490 BLA RGE9";"31/12/18";"EDF";"BLA";"SN4 QSPR";"NOUVEAU";"00076675 - 09 ";"[SP900] INTEGRATION D0900CP1700002 - AU";"31/12/18";"O";;"9E";"SP9-COORDO";;;"NOUVEAU";"29/09/17";"Active";
"00072752 ";"DOCN";" ";"[DI001] - MEA PB-900 AM 811-18 ind 2 KBS SEC - BLA";"20/12/19";"EDF";"BLA";"SN4 ING";"APPROUVÉ";"00072752 - 01 ";"[SP900] INTEGRATION PB-900 AM 811-18 et 19 ind 2- BLA";;"O";"BLA";"BLA";"PAIDSILD";;;"NOUVEAU";"30/08/17";"Active";
"00072752 ";"DOCN";" ";"[DI001] - MEA PB-900 AM 811-18 ind 2 KBS SEC - BLA";"20/12/19";"EDF";"BLA";"SN4 ING";"APPROUVÉ";"00072752 - 02 ";"[SP900] INTEGRATION PB-900 AM 811-18 et 19 ind 2 -AU";"26/01/18";"O";;"BLA";"AUT-MA";;;"NOTF/PRI";"09/10/17";"Active";
"00072752 ";"DOCN";" ";"[DI001] - MEA PB-900 AM 811-18 ind 2 KBS SEC - BLA";"20/12/19";"EDF";"BLA";"SN4 ING";"APPROUVÉ";"00072752 - 03 ";"faisabilité du controle d'étalonnage des sondes RRI/SEC";"15/12/17";"O";"BLA";"BLA";"SN4 ING";;;"ACC/PRI";"09/10/17";"Active";
"00061592 ";"DOCN";" ";"[DI001]- MEA de la FA04 au PB 900 AM050 07 indice 2 - BLA";"25/06/20";"EDF";"BLA";"SN4 ING";"APPROUVÉ";"00061592 - 01 ";"[SP900] INTEGRATION FA04 au PB 900 AM050 07 indice 2 - BLA";"25/06/17";"O";"BLA";"BLA";"PAIDSILD";;;"CLÔTURÉ";"05/09/17";"Close";
"00061592 ";"DOCN";" ";"[DI001]- MEA de la FA04 au PB 900 AM050 07 indice 2 - BLA";"25/06/20";"EDF";"BLA";"SN4 ING";"APPROUVÉ";"00061592 - 02 ";"[SP900] INTEGRATION FA04 au PB 900 AM050 07 indice 2 - RO";"25/06/18";"O";;"BLA";"SN4 ING";;"BEGON Amandine (D77154)";"ANNULÉ";"05/09/17";"Close";
"00061592 ";"DOCN";" ";"[DI001]- MEA de la FA04 au PB 900 AM050 07 indice 2 - BLA";"25/06/20";"EDF";"BLA";"SN4 ING";"APPROUVÉ";"00061592 - 03 ";"[SP900] INTEGRATION FA04 au PB 900 AM050 07 indice 2 - RO";"25/09/17";"O";;"BLA";"SN4 ING";;"MARSAL Gaelle (F56854)";"ANNULÉ";"05/09/17";"Close";
"00061592 ";"DOCN";" ";"[DI001]- MEA de la FA04 au PB 900 AM050 07 indice 2 - BLA";"25/06/20";"EDF";"BLA";"SN4 ING";"APPROUVÉ";"00061592 - 04 ";"ANALYSE HISTORIQUE";"01/09/18";"O";"BLA";"BLA";"SN4 ING";;;"ACC/PRI";"28/09/17";"Active";
"00076555 ";"DOCN";"SUR";"[DI001]-MEA FA REPR067 ET REPR068 CPY BLA RGE9";"31/12/20";;"BLA";"SN4 QSPR";"NOUVEAU";" -  ";;;;;;;;;;;"Active";
"00000201 ";"DOCN";" ";"[DI001]-MEA objet du courrier";;;"BLA";;"ANNULÉ";"00000201 - 01 ";"[PRESCRIPTEUR] INTEGRATION ""Référence courrier""-SITE";;"O";;"9E";"GSP";;;"ANNULÉ";"04/03/11";"Close";
"00000201 ";"DOCN";" ";"[DI001]-MEA objet du courrier";;;"BLA";;"ANNULÉ";"00000201 - 02 ";"[PRESCRIPTEUR] INTEGRATION ""Référence courrier""-METIER";;"O";;"9E";"GSP";;;"ANNULÉ";"11/10/11";"Close";
"00000244 ";"DOCN";" ";"[DI001]-MEA objet du courrier";;;"BLA";;"ANNULÉ";"00000244 - 01 ";"[PRESCRIPTEUR] INTEGRATION ""Référence courrier""-SITE";;"O";;"9E";"GSP";;;"ANNULÉ";"12/12/11";"Close";
"00000244 ";"DOCN";" ";"[DI001]-MEA objet du courrier";;;"BLA";;"ANNULÉ";"00000244 - 02 ";"[PRESCRIPTEUR] INTEGRATION ""Référence courrier""-METIER";;"O";;"9E";"GSP";;;"ANNULÉ";"12/12/11";"Close";
"00001207 ";"DOCN";" ";"[DI001]-MEA objet du courrier";;;"BLA";;"ANNULÉ";"00001207 - 01 ";"[PRESCRIPTEUR] INTEGRATION ""Référence courrier""-SITE";;"N";;"9E";"GSP";;;"ANNULÉ";"14/02/12";"Close";
