
"N° PA (lien EAM A010)";"Type de PA";"Discipline";"Libellé du PA";"Date création PA";"Date échéance PA";"Repère équipement";"Site responsable plan d'actions";"Groupe responsable";"Service responsable PA";"Nom responsable PA";"Impact CPP/CSP";"Libellé statut plan d'action";"Date modif statut";"Type de note";"Notes concaténées";
"00061592 ";"DOCN";" ";"[DI001]- MEA de la FA04 au PB 900 AM050 07 indice 2 - BLA";"26/04/17";"25/06/20";" ";"BLA";"SN4 ING";;;;"APPROUVÉ";"27/09/17";"D";"CADRE : MEA de la FA04 au PB 900 AM050 07 indice 2 CONTEXTE : Arrete d'exploitation CPP/CSP APPLICABILITE : CPY DECLINAISON COMPLETE : OUI CHARGE DE TRAVAIL : 4h EN COURS";
"00061592 ";"DOCN";" ";"[DI001]- MEA de la FA04 au PB 900 AM050 07 indice 2 - BLA";"26/04/17";"25/06/20";" ";"BLA";"SN4 ING";;;;"APPROUVÉ";"27/09/17";"I";"test droit resp action";
"00061592 ";"DOCN";" ";"[DI001]- MEA de la FA04 au PB 900 AM050 07 indice 2 - BLA";"26/04/17";"25/06/20";" ";"BLA";"SN4 ING";;;;"APPROUVÉ";"27/09/17";"S";"SUIVI commission prescriptif Attention : Nombre de lignes limitées... Le 20/04/2015 (ILD) PBMP CPP => en application de la NAS, la fiche doit se terminer par une action de contrôle exhaustif, formalisé, réalisée par son pilote ...";
"00064808 ";"DOCN";" ";"[DI001]MEA gammes mutualisées suite REX d'exploitation - BLA";"06/06/17";"07/01/18";" ";"BLA";"SN3 MSR";;;;"NOUVEAU";"06/06/17";"D";" CADRE : MEA de 4 nouveaux EPA et 2 PNM - Courrier D0900CP1700010 complété par le courrier D0900CP1700020 CONTEXTE : REX classe 4 - Intégration des DED4 DAM EPA 15 0061 et SP9 PNM 16 0010 Les 4 nouveaux EPA sont applicables sur CHB, DAM et SLB conformément au courrier D0900CP1700010 APPLICABILITE : CPY DECLINAISON COMPLETE : OUI CHARGE DE TRAVAIL : 4h pour documentation site CHARGE DE TRAVAIL : 4h pour intégration SI";
"00064988 ";"DOCN";"ANA";"[DI001]- MEA FA REN 019 et NEC PNPPi632 - BLA";"07/06/17";"08/08/17";" ";"BLA";"PAIDSILD";;;;"NOUVEAU";"07/06/17";"D";" CADRE : Intégration de la NEC PNPPi632 ainsi que de la FA REN 019 associée. CONTEXTE : Fiabilisation du boremètre REN. APPLICABILITE : Palier CPY DECLINAISON COMPLETE : OUI (courriers D0900CP1600068 et D0900CP1600028) CHARGE DE TRAVAIL : 10h pour documentation site CHARGE DE TRAVAIL : 10h pour intégration SI";
"00064995 ";"DOCN";" ";"[DI001]- MEA FA REN 019 et NEC PNPPi632- BLA";"07/06/17";"08/08/17";" ";"BLA";"PAIDSILD";;;;"NOUVEAU";"07/06/17";"D";" CADRE : Intégration de la NEC PNPPi632 ainsi que de la FA REN 019 associée. CONTEXTE : Fiabilisation du boremètre REN. APPLICABILITE : Palier CPY DECLINAISON COMPLETE : OUI (courriers D0900CP1600068 et D0900CP1600028) CHARGE DE TRAVAIL : 10h pour documentation site CHARGE DE TRAVAIL : 10h pour intégration SI";
"00065203 ";"DOCN";" ";"Instruction du prog.échangeurs et GSS pour le DMAT 30/06/16";"09/06/17";"09/07/17";" ";"BLA";"APPROB DT";;;;"ANNULÉ";"09/06/17";"D";" Ce PA concerne l'Instruction du programme échangeurs et GSS pour le Directoire matériels du 30 juin 2016.";
"00065396 ";"DOCN";"AUT";"[DI001]- MEA FA REN 019 et NEC PNPPi632 - BLA";"12/06/17";"16/06/17";" ";"BLA";"SN4 ING";;;;"APPROUVÉ";"12/06/17";"D";" CADRE : Intégration de la NEC PNPPi632 ainsi que de la FA REN 019 associée. CONTEXTE : Fiabilisation du boremètre REN. APPLICABILITE : Palier CPY DECLINAISON COMPLETE : OUI (courriers D0900CP1600068 et D0900CP1600028) CHARGE DE TRAVAIL : 10h pour documentation site CHARGE DE TRAVAIL : 10h pour intégration SI";
"00065627 ";"DOCN";"ELE";"[DI001]-MEA RNM TPAL AM772-01 ind0 - BLA";"14/06/17";"21/12/17";" ";"BLA";"APPROB DT";;;;"APPROUVÉ";"15/06/17";"D";" CADRE :PAR CAMPAGNE CONTEXTE : associée aux PB 900 : AP913-01-02 FA TABLEAUsource_01 et AP913-02-02 FA TABLEAUsource_01 APPLICABILITE : CPY DECLINAISON COMPLETE : OUI CHARGE DE TRAVAIL : 2h pour intégration dans le SI **************remarques******************* Pas de courrier DI 001, pas de LNDP uniquement ajout RNM + 2PNM dans TOT1 OTM 3733 ajout 2 PNM dans TOT1 OTM 19227 PMRQ 1385/02 et 05 modification liste EQT + ajout DSI";
"00071762 ";"DOCN";" ";"DI001-MEA REGLES GENE SURV ENT PNPP1675 - BLA";"17/08/17";"31/12/17";" ";"BLA";"SN4 ING";;;;"APPROUVÉ";"23/08/17";"D";" CADRE : REGLES GESTIONS DE LA PROTECTION VOLUMETRIQUES  ET DE LA PROTECTION RAPPROCHEE BASSE CONTEXTE : INTEGRATION DES MODIFICATIONS PNPP i675 APPLICABILITE : TOUS PALIERS COMMENTAIRE ILD AU CLIP 83 DU 22/03/2017 : Cette mise à jour des règles de gestion de la protection volumétrique permet d'integrer la modification PNPP1675 dans cette gestion création d'un PA (00059006),  pilote PAIDSPI(Romain Dupont pour Pierre Luc Pommier), 1234C2017, échéance 31/12/20107,1 action Chau PACHAPI (Charlotte balland), 1 action IPE pilote PAIPEPI (jordan Foret), 1 action PAEXPPI (rabah Bekri pour Julie Hourtane), 1 action 1 action SSI (PADOCPRDOC)";
"00071779 ";"DOCN";" ";"[DI001]- MEA de la FA EPP 029 indice C - BLA";"17/08/17";"01/01/18";" ";"BLA";"SN4 ING";;;;"APPROUVÉ";"17/08/17";"A";" Analyse d'impact : voir NIR pour réponse ECE Au 27/03/17 au vu des échanges avec ECE ci-joint l'intégration de cet FA est à indexer sur la production du classe 4 qui sera pilotée par le Blayais";
"00071779 ";"DOCN";" ";"[DI001]- MEA de la FA EPP 029 indice C - BLA";"17/08/17";"01/01/18";" ";"BLA";"SN4 ING";;;;"APPROUVÉ";"17/08/17";"D";"CADRE : FA EPP 029 C CONTEXTE : gestion fermeture SAS APPLICABILITE : Palier CPY DECLINAISON COMPLETE : OUI CHARGE DE TRAVAIL : 2h pour documentation site CHARGE DE TRAVAIL : 2h pour intégration SI";
"00072752 ";"DOCN";" ";"[DI001] - MEA PB-900 AM 811-18 ind 2 KBS SEC - BLA";"30/08/17";"20/12/19";" ";"BLA";"SN4 ING";;;;"APPROUVÉ";"09/10/17";"D";" CADRE : suivant les matériels impactés, l'intégration sera : simultanée aux règles d'éssai EVENEMENTIEL ou simultanée aux dossiers de modification EVENEMENTIEL ou PAR CAMPAGNE CONTEXTE : prise en compte PNPP1086 pour SEC APPLICABILITE : CPY DECLINAISON COMPLETE : NON il reste l'EPA RIS 473 et objets associés à produire (RIS003 et 004 MT) MHA objets EAS 005 et 006 MT suppresion fiche capteur KBS complet SEC reste production à charge locale site cf. ci dessous CHARGE DE TRAVAIL : 2 h pour documentation site CHARGE DE TRAVAIL : 2 h pour intégration SI ********************************************************* SEC exigences locales LOC- attention chaque site récupère les exigences selon son applicabilité : SEC 011et012MT exigences 53215 53220 53218 53219 DAM BLA GRA ajout exigences 53154 53156 53157 critères RGE non mutualisé sur PMRQ existant BLA DAM GRA SEC 111 et 112MT exigences 53225 53226 53227  pour DAM SEC 011 et 012YT exigence 53231 53232 53233 CHI et SLB SEC 001 et 002 YT ajout exigences 53157 53165 53160 ctitères RGE non mutualisés sur pmrq existant CRU CHB SLB SEC 027 et 028 MT exigences CP2 53254 53255 53256 ************************** pas de LNDP-, pas de courrier MEA DI 001, pas de PMRQ-";
"00074481 ";"DOCN";" ";"[DI001]-DA PARITE MOX-BLA3-PRODUCTION MUTUALISEE";"18/09/17";"16/06/18";" ";"BLA";"PAIDS";;;;"NOUVEAU";"18/09/17";;;
"00074485 ";"DOCN";"IDS";"[DI001]-MEA-DA PARITE MOX-BLA3-PRODUCTION MUTUALISEE";"18/09/17";"16/06/18";" ";"BLA";"PAIDS";;;;"NOUVEAU";"18/09/17";"D";" - Passage à PARITE MOX - BLA tranche 3 planifié à ce jour sur 3P3418 (découplage 21/04/18) ; possibilité de report à un arrêt ultérieur sur décision DPN jusqu'à février 2018 - Intégration de la production mutualisée ou non mutualisée de classe 4";
"00074485 ";"DOCN";"IDS";"[DI001]-MEA-DA PARITE MOX-BLA3-PRODUCTION MUTUALISEE";"18/09/17";"16/06/18";" ";"BLA";"PAIDS";;;;"NOUVEAU";"18/09/17";"I";"Voir NIR D5150NIRING0001 (données d'entrée ILD suite aux deux réunions menées sur le sujet) et note de basculement documentaire BLA2 PARITE MOX D5150NTING0293 du 09/08/2009 (pour exemple autant que de besoin)";
"00074516 ";"DOCN";" ";"DI001]-MEA-DA PARITE MOX-BLA3-AUTRES IMPACTS ET ADHERENCES";"18/09/17";"16/06/18";" ";"BLA";"PAIDS";;;;"NOUVEAU";"18/09/17";"D";" - Passage à PARITE MOX - BLA tranche 3 planifié à ce jour sur 3P3418 (découplage 21/04/18) ; possibilité de report à un arrêt ultérieur sur décision DPN jusqu'à février 2018 - Intégration des domaines FORMATION - MODIFICATIONS - SECURITAIRE - APPRO § PDR - LOGICIEL - DECLARATION § AUTORISATION";
"00074516 ";"DOCN";" ";"DI001]-MEA-DA PARITE MOX-BLA3-AUTRES IMPACTS ET ADHERENCES";"18/09/17";"16/06/18";" ";"BLA";"PAIDS";;;;"NOUVEAU";"18/09/17";"I";"Voir NIR D5150NIRING0001 (données d'entrée ILD suite aux deux réunions menées sur le sujet) et note de basculement documentaire BLA2 PARITE MOX D5150NTING0293 du 09/08/2009 (pour exemple autant que de besoin) Analyser les impacts sur le domaine PUI 5tracer dans note type A";
"00074778 ";"DOCN";" ";"[";"20/09/17";;" ";"BLA";"PAIDS";;;;"NOUVEAU";"20/09/17";;;
"00074806 ";"DOCN";" ";"[DI001]-MEA-DA PARITE MOX-BLA3-PRODUCTION MUTUALISEE";"20/09/17";"06/06/18";" ";"BLA";"APPROB DT";;;;"ANNULÉ";"20/09/17";"A";" Analyse de la note de basculement documentaire BLA2 PARITE MOX référence D5150NTING0293 du 09/08/2009";
"00074806 ";"DOCN";" ";"[DI001]-MEA-DA PARITE MOX-BLA3-PRODUCTION MUTUALISEE";"20/09/17";"06/06/18";" ";"BLA";"APPROB DT";;;;"ANNULÉ";"20/09/17";"D";"- Passage à PARITE MOX - BLA tranche 3 planifié à ce jour sur 3P3418 (découplage 21/04/18) ; possibilité de report à un arrêt ultérieur sur décision DPN jusqu'à février 2018 - Intégration de la production mutualisée ou non mutualisée de classe 4";
"00074808 ";"DOCN";"SUR";"[DI001]-MEA-DA PARITE MOX-BLA3-RGE3";"20/09/17";"06/06/18";" ";"BLA";"SN4 QSPR";;;;"NOTIFIÉ";"25/09/17";"D";" - Passage à PARITE MOX - BLA tranche 3 planifié à ce jour sur 3P3418 (découplage 21/04/18) ; possibilité de report à un arrêt ultérieur sur décision DPN jusqu'à février 2018";
"00074808 ";"DOCN";"SUR";"[DI001]-MEA-DA PARITE MOX-BLA3-RGE3";"20/09/17";"06/06/18";" ";"BLA";"SN4 QSPR";;;;"NOTIFIÉ";"25/09/17";"I";"Voir NIR D5150NIRING0001 (données d'entrée ILD suite aux deux réunions menées sur le sujet) et note de basculement documentaire BLA2 PARITE MOX D5150NTING0293 du 09/08/2009 (pour exemple autant que de besoin)";
"00075245 ";"DOCN";"SUR";"[DI001]-MEA-DA PARITE MOX-BLA3-RGE6";"25/09/17";"06/06/18";" ";"BLA";"SN4 QSPR";;;;"APPROUVÉ";"10/10/17";"A";" Analyse d'impact Chap VI : Le DA PMOX est inclus dans le DA VD3. Seules quelques pages de consignes sont à adapter sur le délai du RIS long terme (ECT4 7sb et 8sc, SPE 9sc). Cette modification ne nécessite pas de validation à blanc ni d'actions de formation.";
"00075245 ";"DOCN";"SUR";"[DI001]-MEA-DA PARITE MOX-BLA3-RGE6";"25/09/17";"06/06/18";" ";"BLA";"SN4 QSPR";;;;"APPROUVÉ";"10/10/17";"D";"- Passage à PARITE MOX - BLA tranche 3 planifié à ce jour sur 3P3418 (découplage 21/04/18) ; possibilité de report à un arrêt ultérieur sur décision DPN jusqu'à février 2018";
"00075245 ";"DOCN";"SUR";"[DI001]-MEA-DA PARITE MOX-BLA3-RGE6";"25/09/17";"06/06/18";" ";"BLA";"SN4 QSPR";;;;"APPROUVÉ";"10/10/17";"I";"Voir NIR D5150NIRING0001 (données d'entrée ILD suite aux deux réunions menées sur le sujet) et note de basculement documentaire BLA2 PARITE MOX D5150NTING0293 du 09/08/2009 (pour exemple autant que de besoin)";
"00075247 ";"DOCN";" ";"[DI001]-MEA-DA PARITE MOX-BLA3-RGE9";"25/09/17";"06/06/18";" ";"BLA";"SN4 QSPR";;;;"NOTIFIÉ";"25/09/17";"A";" Section II et III de référence changent pour les chap IX et X. Analyser les TX qui ne sont pas ""Toutes Gestions"" DA PMOX DA FI Garance à annuler";
"00075247 ";"DOCN";" ";"[DI001]-MEA-DA PARITE MOX-BLA3-RGE9";"25/09/17";"06/06/18";" ";"BLA";"SN4 QSPR";;;;"NOTIFIÉ";"25/09/17";"D";"- Passage à PARITE MOX - BLA tranche 3 planifié à ce jour sur 3P3418 (découplage 21/04/18) ; possibilité de report à un arrêt ultérieur sur décision DPN jusqu'à février 2018";
"00075247 ";"DOCN";" ";"[DI001]-MEA-DA PARITE MOX-BLA3-RGE9";"25/09/17";"06/06/18";" ";"BLA";"SN4 QSPR";;;;"NOTIFIÉ";"25/09/17";"I";"Voir NIR D5150NIRING0001 (données d'entrée ILD suite aux deux réunions menées sur le sujet) et note de basculement documentaire BLA2 PARITE MOX D5150NTING0293 du 09/08/2009 (pour exemple autant que de besoin)";
"00075256 ";"DOCN";" ";"PADOCN DE TEST";"25/09/17";;" ";"BLA";"PAIDS";;;;"NOUVEAU";"26/09/17";;;
"00075261 ";"DOCN";"SUR";"[DI001]-MEA-DA PARITE MOX-BLA3-PUI";"25/09/17";"06/06/18";" ";"BLA";"SN4 QSPR";;;;"NOTIFIÉ";"25/09/17";"D";" - Passage à PARITE MOX - BLA tranche 3 planifié à ce jour sur 3P3418 (découplage 21/04/18) ; possibilité de report à un arrêt ultérieur sur décision DPN jusqu'à février 2018 - PADOCN créé pour tracer l'éventuel impact du passage à PMOX tr3 sur le domaine PUI, conformément à décision de la réunion de ""lancement"" du 19/01/17";
"00075261 ";"DOCN";"SUR";"[DI001]-MEA-DA PARITE MOX-BLA3-PUI";"25/09/17";"06/06/18";" ";"BLA";"SN4 QSPR";;;;"NOTIFIÉ";"25/09/17";"I";"Voir NIR D5150NIRING0001 (données d'entrée ILD suite aux deux réunions menées sur le sujet) et note de basculement documentaire BLA2 PARITE MOX D5150NTING0293 du 09/08/2009 (pour exemple autant que de besoin)";
"00075262 ";"DOCN";"GMK";"[DI001]-MEA-DA PARITE MOX-BLA3-Matière NUC-Màj du REF";"25/09/17";"06/06/18";" ";"BLA";"SN4 LOG";;;;"NOTIFIÉ";"25/09/17";"D";" - Passage à PARITE MOX - BLA tranche 3 planifié à ce jour sur 3P3418 (découplage 21/04/18) ; possibilité de report à un arrêt ultérieur sur décision DPN jusqu'à février 2018";
"00075262 ";"DOCN";"GMK";"[DI001]-MEA-DA PARITE MOX-BLA3-Matière NUC-Màj du REF";"25/09/17";"06/06/18";" ";"BLA";"SN4 LOG";;;;"NOTIFIÉ";"25/09/17";"I";"Voir NIR D5150NIRING0001 (données d'entrée ILD suite aux deux réunions menées sur le sujet) et note de basculement documentaire BLA2 PARITE MOX D5150NTING0293 du 09/08/2009 (pour exemple autant que de besoin)";
"00076555 ";"DOCN";"SUR";"[DI001]-MEA FA REPR067 ET REPR068 CPY BLA RGE9";"28/09/17";"31/12/20";" ";"BLA";"SN4 QSPR";;;;"NOUVEAU";"28/09/17";"A";" voir NIR D5150NIRING76555 ""NIR PADOCN 76555 issue FP2017_077";
"00076555 ";"DOCN";"SUR";"[DI001]-MEA FA REPR067 ET REPR068 CPY BLA RGE9";"28/09/17";"31/12/20";" ";"BLA";"SN4 QSPR";;;;"NOUVEAU";"28/09/17";"D";"PADOCN issu du transfert de la FP2017_071 Fiche complète jointe en .PDF en page documents Analyse d'impact jointe en copié-collé en NIR en page documents Aucune action transférée car la FP n'en avait pas Autres PADOCN PTD3 en références croisées";
"00076675 ";"DOCN";"SUR";"[DI001]- MEA FA DVK005indB et KRT033indB PNPP1490 BLA RGE9";"29/09/17";"31/12/18";" ";"BLA";"SN4 QSPR";;;;"NOUVEAU";"29/09/17";"A";" voir NIR FP2017_020et032AIRGE9CL3etCL4";
"00076675 ";"DOCN";"SUR";"[DI001]- MEA FA DVK005indB et KRT033indB PNPP1490 BLA RGE9";"29/09/17";"31/12/18";" ";"BLA";"SN4 QSPR";;;;"NOUVEAU";"29/09/17";"D";"Infos ILD : PADOCN issu du transfert des FP2017_020 (RGE9 CL3) et FP2017_032 (RGE9 CL4) Fiches complètes jointes en Pdf en page documents Analyses d'impact jointes en copié-collé en page documents Liste des actions non terminées des FP et transférées : FP020/4-5-6 et FP032/3-5-7 Autres infos : lié à RGE6 via PADOCN en référence croisée Infos SP9 : CADRE : PNPP1490 - FA DVK 005 - FA KRT 033 CONTEXTE : modification PNPP1490 APPLICABILITE : CPY DECLINAISON COMPLETE : OUI CHARGE DE TRAVAIL : 6h pour documentation site CHARGE DE TRAVAIL : 6h pour intégration SI";
"00076675 ";"DOCN";"SUR";"[DI001]- MEA FA DVK005indB et KRT033indB PNPP1490 BLA RGE9";"29/09/17";"31/12/18";" ";"BLA";"SN4 QSPR";;;;"NOUVEAU";"29/09/17";"I";"voir NIR FP2017_020PDFRGE9CL3 et NIR FP2017_032PDFRGE9CL4";

