
"N° PA (lien EAM A010)";"Type de PA";"Discipline";"Libellé du PA";"Date création PA";"Date échéance PA";"Repère équipement";"Créateur";"Créateur/Groupe";"Site responsable plan d'actions";"Groupe responsable";"Service responsable PA";"Nom responsable PA";"Impact CPP/CSP";"Libellé statut plan d'action";"Statut actuel.Date modif statut";
"00071779 ";"DOCN";" ";"[DI001]- MEA de la FA EPP 029 indice C - BLA";"17/08/17";"01/01/18";" ";"SN4 ING";"SN4 ING";"BLA";"SN4 ING";;;;"APPROUVÉ";"17/08/17";
"00072752 ";"DOCN";" ";"[DI001] - MEA PB-900 AM 811-18 ind 2 KBS SEC - BLA";"30/08/17";"20/12/19";" ";"SN4 ING";"SN4 ING";"BLA";"SN4 ING";;;;"APPROUVÉ";"09/10/17";
"00074481 ";"DOCN";" ";"[DI001]-DA PARITE MOX-BLA3-PRODUCTION MUTUALISEE";"18/09/17";"16/06/18";" ";"PAIDSILD";"PAIDSILD";"BLA";"PAIDS";;;;"NOUVEAU";"18/09/17";
"00074485 ";"DOCN";"IDS";"[DI001]-MEA-DA PARITE MOX-BLA3-PRODUCTION MUTUALISEE";"18/09/17";"16/06/18";" ";;;"BLA";"PAIDS";;;;"NOUVEAU";"18/09/17";
"00074516 ";"DOCN";" ";"DI001]-MEA-DA PARITE MOX-BLA3-AUTRES IMPACTS ET ADHERENCES";"18/09/17";"16/06/18";" ";;;"BLA";"PAIDS";;;;"NOUVEAU";"18/09/17";
"00074778 ";"DOCN";" ";"[";"20/09/17";;" ";"CHARLES Frederic (I53535)";"CHARLES Frederic (I53535)";"BLA";"PAIDS";;;;"NOUVEAU";"20/09/17";
"00074806 ";"DOCN";" ";"[DI001]-MEA-DA PARITE MOX-BLA3-PRODUCTION MUTUALISEE";"20/09/17";"06/06/18";" ";;;"BLA";"APPROB DT";;;;"ANNULÉ";"20/09/17";
"00074808 ";"DOCN";"SUR";"[DI001]-MEA-DA PARITE MOX-BLA3-RGE3";"20/09/17";"06/06/18";" ";"PAIDSILD";"PAIDSILD";"BLA";"SN4 QSPR";;;;"NOTIFIÉ";"25/09/17";
"00075245 ";"DOCN";"SUR";"[DI001]-MEA-DA PARITE MOX-BLA3-RGE6";"25/09/17";"06/06/18";" ";"PAIDSILD";"PAIDSILD";"BLA";"SN4 QSPR";;;;"APPROUVÉ";"10/10/17";
"00075247 ";"DOCN";" ";"[DI001]-MEA-DA PARITE MOX-BLA3-RGE9";"25/09/17";"06/06/18";" ";"PAIDSILD";"PAIDSILD";"BLA";"SN4 QSPR";;;;"NOTIFIÉ";"25/09/17";
"00075256 ";"DOCN";" ";"PADOCN DE TEST";"25/09/17";;" ";"PAIDSILD";"PAIDSILD";"BLA";"PAIDS";;;;"NOUVEAU";"26/09/17";
"00075261 ";"DOCN";"SUR";"[DI001]-MEA-DA PARITE MOX-BLA3-PUI";"25/09/17";"06/06/18";" ";"PAIDSILD";"PAIDSILD";"BLA";"SN4 QSPR";;;;"NOTIFIÉ";"25/09/17";
"00075262 ";"DOCN";"GMK";"[DI001]-MEA-DA PARITE MOX-BLA3-Matière NUC-Màj du REF";"25/09/17";"06/06/18";" ";"PAIDSILD";"PAIDSILD";"BLA";"SN4 LOG";;;;"NOTIFIÉ";"25/09/17";
"00076555 ";"DOCN";"SUR";"[DI001]-MEA FA REPR067 ET REPR068 CPY BLA RGE9";"28/09/17";"31/12/20";" ";"PAIDSILD";"PAIDSILD";"BLA";"SN4 QSPR";;;;"NOUVEAU";"28/09/17";
"00076675 ";"DOCN";"SUR";"[DI001]- MEA FA DVK005indB et KRT033indB PNPP1490 BLA RGE9";"29/09/17";"31/12/18";" ";"PAIDSILD";"PAIDSILD";"BLA";"SN4 QSPR";;;;"NOUVEAU";"29/09/17";

