
"Site PA";"N° PA";"Type PA";"Discipline";"Libellé du PA";"Date création PA";"Date échéance PA";"Repère équipement";"Site Resp PA";"Groupe responsable";"Service responsable PA";"Nom responsable PA";"Impact CPP/CSP";"Libellé statut plan d'action";"RC_Site PA";"RC_Site aff";"RC_N°_PA";"RC_Lien";"RC_Type de PA";"RC_Discipline";"RC_Libellé du PA";"RC_Date création PA";"Libellé statut plan d'action";"Date modif statut";
"DAM";"00003665 ";"DOCN";" ";"DI001 - CIA PNPP1267 - 1P2017 DAM";"01/10/13";"31/07/17";" ";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"DAM";;"00003666";"00003666";"DOCN";;"DI001 - CIA PNPP1267 - 2P2016- DAM";"01/10/13";"CLÔTURÉ";"26/09/16";
"DAM";"00003665 ";"DOCN";" ";"DI001 - CIA PNPP1267 - 1P2017 DAM";"01/10/13";"31/07/17";" ";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"DAM";;"00003667";"00003667";"DOCN";;"DI001 - CIA PNPP1267 - 4D2014 DAM";"01/10/13";"CLÔTURÉ";"10/12/14";
"DAM";"00003669 ";"DOCN";" ";"DI001 - CIA DA RCV PNPP1267 Tome B - 1P2017- DAM";"01/10/13";"31/07/17";" ";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"DAM";;"00003670";"00003670";"DOCN";;"DI001 - CIA DA RCV PNPP1267 - 2P2016- DAM";"01/10/13";"CLÔTURÉ";"26/09/16";
"DAM";"00003669 ";"DOCN";" ";"DI001 - CIA DA RCV PNPP1267 Tome B - 1P2017- DAM";"01/10/13";"31/07/17";" ";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"DAM";;"00003671";"00003671";"DOCN";;"DI001 - CIA DA RCV PNPP1267 - 4D3014- DAM";"01/10/13";"CLÔTURÉ";"10/12/14";
"DAM";"00003673 ";"DOCN";" ";"DI001 - CIA DA GChauds  - 1P2017-DAM";"01/10/13";"31/07/17";" ";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"DAM";;"00003675";"00003675";"DOCN";;"DI001 - CIA DA GChauds - 2P2016-DAM";"01/10/13";"CLÔTURÉ";"26/09/16";
"DAM";"00003673 ";"DOCN";" ";"DI001 - CIA DA GChauds  - 1P2017-DAM";"01/10/13";"31/07/17";" ";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"DAM";;"00003678";"00003678";"DOCN";;"DI001 - CIA DA GChauds  - 3P2015-DAM";"01/10/13";"CLÔTURÉ";"11/01/16";
"DAM";"00003673 ";"DOCN";" ";"DI001 - CIA DA GChauds  - 1P2017-DAM";"01/10/13";"31/07/17";" ";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"DAM";;"00003680";"00003680";"DOCN";;"DI001 - CIA DA GRAND CHAUD - 4D2014- DAM";"01/10/13";"CLÔTURÉ";"10/12/14";
"DAM";"00003775 ";"DOCN";" ";"[DI001]-MEA FA RRI024B & RIS092 - PNPP1267B- 1P2017 DAM";"10/10/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"9E";"EDF";"00001524";"00001524";"DOCN";;"[DI001]-MEA FA RRI024B & RIS092 - PNPP1267B";"24/05/12";"APPROUVÉ";"10/07/12";
"DAM";"00003775 ";"DOCN";" ";"[DI001]-MEA FA RRI024B & RIS092 - PNPP1267B- 1P2017 DAM";"10/10/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"DAM";"00058895";"00058895";"EQT";;"PNPP1267BD-Installation hydro-réfrigérant RCV - 1DAM";"23/03/17";"APPROUVÉ";"28/03/17";
"DAM";"00003775 ";"DOCN";" ";"[DI001]-MEA FA RRI024B & RIS092 - PNPP1267B- 1P2017 DAM";"10/10/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"EDF";"00003759";"00003759";"DOCN";;"[DI001]-MEA FA RRI024B & RIS092 - PNPP1267B- 4D2014 DAM";"09/10/13";"CLÔTURÉ";"01/10/14";
"DAM";"00003775 ";"DOCN";" ";"[DI001]-MEA FA RRI024B & RIS092 - PNPP1267B- 1P2017 DAM";"10/10/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"EDF";"00003776";"00003776";"DOCN";;"[DI001]-MEA FA RRI024B & RIS092 PNPP1267B - 2P2016 DAM";"10/10/13";"CLÔTURÉ";"20/05/16";
"DAM";"00003775 ";"DOCN";" ";"[DI001]-MEA FA RRI024B & RIS092 - PNPP1267B- 1P2017 DAM";"10/10/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"EDF";"00005071";"00005071";"DOCN";;"[DI001]-MEA FA RRI024B & RIS092 - PNPP1267B- 3D2013 DAM";"10/01/14";"ANNULÉ";"23/09/14";
"DAM";"00003785 ";"DOCN";" ";"[DI001]-MEA du DA GRANDS CHAUDS- CH9- 1P2017-DAM";"10/10/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"9E";"EDF";"00002471";"00002471";"DOCN";;"[DI001]-MEA du DA GRANDS CHAUDS";"24/01/13";"APPROUVÉ";"23/07/13";
"DAM";"00003785 ";"DOCN";" ";"[DI001]-MEA du DA GRANDS CHAUDS- CH9- 1P2017-DAM";"10/10/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"DAM";"00057173";"00057173";"EQT";;"PNPP1086AC-Suivi auto encrassement échangeurs SEC/RRI-1DAM";"01/03/17";"APPROUVÉ";"02/03/17";
"DAM";"00003785 ";"DOCN";" ";"[DI001]-MEA du DA GRANDS CHAUDS- CH9- 1P2017-DAM";"10/10/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"DAM";"00058975";"00058975";"EQT";;"PNPP1379AC-Renforcement sismique DVG-RAM-RGL-1DAM";"24/03/17";"APPROUVÉ";"28/03/17";
"DAM";"00003785 ";"DOCN";" ";"[DI001]-MEA du DA GRANDS CHAUDS- CH9- 1P2017-DAM";"10/10/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"DAM";"00059238";"00059238";"EQT";;"PNPP1131AB-remplacement des Groupes DEL-1DAM";"28/03/17";"APPROUVÉ";"03/04/17";
"DAM";"00003785 ";"DOCN";" ";"[DI001]-MEA du DA GRANDS CHAUDS- CH9- 1P2017-DAM";"10/10/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"DAM";"00059445";"00059445";"EQT";;"PNPP1302-B-Climatisation local Elec LHP/Q-1DAM";"30/03/17";"APPROUVÉ";"03/04/17";
"DAM";"00003785 ";"DOCN";" ";"[DI001]-MEA du DA GRANDS CHAUDS- CH9- 1P2017-DAM";"10/10/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"EDF";"00003766";"00003766";"DOCN";;"[DI001]-MEA du DA GRANDS CHAUDS- CH9- 2P2016 - DAM";"09/10/13";"CLÔTURÉ";"10/08/16";
"DAM";"00003785 ";"DOCN";" ";"[DI001]-MEA du DA GRANDS CHAUDS- CH9- 1P2017-DAM";"10/10/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"EDF";"00003782";"00003782";"DOCN";;"[DI001]-MEA du DA GRANDS CHAUDS- CH9 - 4D2014 - DAM";"10/10/13";"CLÔTURÉ";"01/10/14";
"DAM";"00003785 ";"DOCN";" ";"[DI001]-MEA du DA GRANDS CHAUDS- CH9- 1P2017-DAM";"10/10/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"EDF";"00003788";"00003788";"DOCN";;"[DI001]-MEA du DA GRANDS CHAUDS- CH9- 3P2015-DAM";"10/10/13";"CLÔTURÉ";"22/10/15";
"DAM";"00004432 ";"DOCN";"AUT";"DI001 - PNM FA n°4 PBMP PB900RCV01 (1) PNPP1267 - 1P2017 DAM";"21/11/13";"01/10/17";" ";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"DAM";"EDF";"00004433";"00004433";"DOCN";"AUT";"DI001 - PNM FA n°4 PBMP PB900RCV01 (1) PNPP1267 - 2P2016 DAM";"21/11/13";"CLÔTURÉ";"12/09/16";
"DAM";"00004432 ";"DOCN";"AUT";"DI001 - PNM FA n°4 PBMP PB900RCV01 (1) PNPP1267 - 1P2017 DAM";"21/11/13";"01/10/17";" ";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"DAM";"EDF";"00004434";"00004434";"DOCN";;"DI001 - FA n°4 PBMP PB900RCV01 (1) PNPP1267 - 4D2014 DAM";"21/11/13";"CLÔTURÉ";"05/02/15";
"DAM";"00004432 ";"DOCN";"AUT";"DI001 - PNM FA n°4 PBMP PB900RCV01 (1) PNPP1267 - 1P2017 DAM";"21/11/13";"01/10/17";" ";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"DAM";"EDF";"00006517";"00006517";"DOCN";;"DI001 - FA n°4 PBMP PB900RCV01 (1) PNPP1267 - 3D2013 DAM";"21/01/14";"CLÔTURÉ";"05/02/15";
"DAM";"00004966 ";"DOCN";"CHA";"[DI001]-MEA du PB450 12 ind 0-Ancrages IPS 1234C2013-DAM";"17/12/13";"01/01/17";" ";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"9E";"EDF";"00002812";"00002812";"DOCN";;"[DI001]-MEA du PB AM 450 12 ind 0 - Ancrages matériels IPS";"24/04/13";"APPROUVÉ";"25/04/13";
"DAM";"00004975 ";"DOCN";" ";"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)- 1P2017-DAM";"19/12/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"9E";"EDF";"00003748";"00003748";"DOCN";;"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)";"08/10/13";"APPROUVÉ";"06/12/13";
"DAM";"00004975 ";"DOCN";" ";"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)- 1P2017-DAM";"19/12/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"EDF";"00004978";"00004978";"DOCN";;"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)- 4D2014-DAM";"19/12/13";"CLÔTURÉ";"01/10/14";
"DAM";"00004975 ";"DOCN";" ";"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)- 1P2017-DAM";"19/12/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"EDF";"00004979";"00004979";"DOCN";;"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)- 2P2016-DAM";"19/12/13";"CLÔTURÉ";"20/05/16";
"DAM";"00004975 ";"DOCN";" ";"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)- 1P2017-DAM";"19/12/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"EDF";"00004980";"00004980";"DOCN";;"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)- 3P2017-DAM";"19/12/13";"APPROUVÉ";"26/01/15";
"DAM";"00004975 ";"DOCN";" ";"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)- 1P2017-DAM";"19/12/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"GRA";"EDF";"00056573";"00056573";"DOCN";;"DI001-MEA de la FA RIS 092 C + PNPP1267B GRA2";"23/02/17";"APPROUVÉ";"15/03/17";
"DAM";"00004980 ";"DOCN";" ";"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)- 3P2017-DAM";"19/12/13";"27/09/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"9E";"EDF";"00003748";"00003748";"DOCN";;"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)";"08/10/13";"APPROUVÉ";"06/12/13";
"DAM";"00004980 ";"DOCN";" ";"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)- 3P2017-DAM";"19/12/13";"27/09/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"EDF";"00004975";"00004975";"DOCN";;"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)- 1P2017-DAM";"19/12/13";"APPROUVÉ";"26/01/15";
"DAM";"00004980 ";"DOCN";" ";"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)- 3P2017-DAM";"19/12/13";"27/09/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"EDF";"00004978";"00004978";"DOCN";;"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)- 4D2014-DAM";"19/12/13";"CLÔTURÉ";"01/10/14";
"DAM";"00004980 ";"DOCN";" ";"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)- 3P2017-DAM";"19/12/13";"27/09/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"EDF";"00004979";"00004979";"DOCN";;"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)- 2P2016-DAM";"19/12/13";"CLÔTURÉ";"20/05/16";
"DAM";"00004980 ";"DOCN";" ";"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)- 3P2017-DAM";"19/12/13";"27/09/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"GRA";"EDF";"00056573";"00056573";"DOCN";;"DI001-MEA de la FA RIS 092 C + PNPP1267B GRA2";"23/02/17";"APPROUVÉ";"15/03/17";
"DAM";"00006563 ";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 1P2015 DAM";"28/01/14";"31/12/19";" ";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"DAM";"EDF";"00006566";"00006566";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 3P2015 DAM";"28/01/14";"CLÔTURÉ";"04/05/16";
"DAM";"00006563 ";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 1P2015 DAM";"28/01/14";"31/12/19";" ";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"DAM";"EDF";"00006567";"00006567";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 2P2016 DAM";"28/01/14";"APPROUVÉ";"05/03/14";
"DAM";"00006563 ";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 1P2015 DAM";"28/01/14";"31/12/19";" ";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"DAM";"EDF";"00006568";"00006568";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 4P2016 DAM";"28/01/14";"APPROUVÉ";"05/03/14";
"DAM";"00006567 ";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 2P2016 DAM";"28/01/14";"31/12/18";" ";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"DAM";"EDF";"00006563";"00006563";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 1P2015 DAM";"28/01/14";"APPROUVÉ";"05/03/14";
"DAM";"00006567 ";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 2P2016 DAM";"28/01/14";"31/12/18";" ";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"DAM";"EDF";"00006566";"00006566";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 3P2015 DAM";"28/01/14";"CLÔTURÉ";"04/05/16";
"DAM";"00006567 ";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 2P2016 DAM";"28/01/14";"31/12/18";" ";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"DAM";"EDF";"00006568";"00006568";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 4P2016 DAM";"28/01/14";"APPROUVÉ";"05/03/14";
"DAM";"00006568 ";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 4P2016 DAM";"28/01/14";"31/12/18";" ";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"DAM";"EDF";"00006563";"00006563";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 1P2015 DAM";"28/01/14";"APPROUVÉ";"05/03/14";
"DAM";"00006568 ";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 4P2016 DAM";"28/01/14";"31/12/18";" ";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"DAM";"EDF";"00006566";"00006566";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 3P2015 DAM";"28/01/14";"CLÔTURÉ";"04/05/16";
"DAM";"00006568 ";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 4P2016 DAM";"28/01/14";"31/12/18";" ";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"DAM";"EDF";"00006567";"00006567";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 2P2016 DAM";"28/01/14";"APPROUVÉ";"05/03/14";
"DAM";"00006577 ";"DOCN";"VCL";"DI001-PB AM450 14 (0) Ancrage ventilation IPS-1234P2015 DAM";"28/01/14";"30/06/14";" ";"DAM";"PAIDSPRSYS";;;;"APPROUVÉ";"9E";"EDF";"00005542";"00005542";"DOCN";;"[DI001]-MEA du PB AM450 14 ind 0- Ancrages ventilations IPS";"14/01/14";"APPROUVÉ";"21/01/14";
"DAM";"00006637 ";"DOCN";"IDS";"DI001 - PB900-AP913-01 et 02 ind.2 - 1234P2015  DAM";"10/02/14";"12/02/16";" ";"DAM";"PAIDSPI";;;;"APPROUVÉ";;;;;;;;;;;
"DAM";"00006643 ";"DOCN";" ";"DI001-DP205 ind6 pose/dépose des shunts RPN uniquement-DAM";"11/02/14";"09/06/18";" ";"DAM";"PAAUTPI";;;;"APPROUVÉ";"DAM";"EDF";"00009881";"00009881";"DOCN";;"DI001-DP205 ind.7 Actions de réduction des AAR-1234C2017 DAM";"04/08/14";"APPROUVÉ";"21/08/14";
"DAM";"00006643 ";"DOCN";" ";"DI001-DP205 ind6 pose/dépose des shunts RPN uniquement-DAM";"11/02/14";"09/06/18";" ";"DAM";"PAAUTPI";;;;"APPROUVÉ";"DAM";;"00006642";"00006642";"DOCN";;"DI001-DP205 ind5 4P2014 et 1P2015-DAM";"11/02/14";"CLÔTURÉ";"08/09/15";
"DAM";"00006844 ";"DOCN";" ";"[DI001]-MEA de RE DMK indice D (PNPP 1184) 2C2017 DAM";"06/03/14";"31/12/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"9E";"EDF";"00003381";"00003381";"DOCN";;"[DI001]-MEA de RE DMK indice D (PNPP 1184)";"30/07/13";"ANNULÉ";"27/02/14";
"DAM";"00006844 ";"DOCN";" ";"[DI001]-MEA de RE DMK indice D (PNPP 1184) 2C2017 DAM";"06/03/14";"31/12/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"9E";"EDF";"00006716";"00006716";"DOCN";;"[DI001]-MEA de RE DMK indice D (PNPP 1184) (remplace PA3381)";"21/02/14";"APPROUVÉ";"27/02/14";
"DAM";"00006844 ";"DOCN";" ";"[DI001]-MEA de RE DMK indice D (PNPP 1184) 2C2017 DAM";"06/03/14";"31/12/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"EDF";"00004335";"00004335";"DOCN";;"DI001-MEA de RE DMK indice D PNPP1184-1234C2015 DAM";"07/11/13";"ANNULÉ";"31/03/14";
"DAM";"00006844 ";"DOCN";" ";"[DI001]-MEA de RE DMK indice D (PNPP 1184) 2C2017 DAM";"06/03/14";"31/12/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"EDF";"00006837";"00006837";"DOCN";;"[DI001]-MEA de RE DMK indice D (PNPP 1184) 1C2017 DAM";"06/03/14";"CLÔTURÉ";"11/04/17";
"DAM";"00006844 ";"DOCN";" ";"[DI001]-MEA de RE DMK indice D (PNPP 1184) 2C2017 DAM";"06/03/14";"31/12/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"EDF";"00006843";"00006843";"DOCN";;"[DI001]-MEA de RE DMK indice D (PNPP 1184) 3C2017 DAM";"06/03/14";"CLÔTURÉ";"07/06/17";
"DAM";"00006844 ";"DOCN";" ";"[DI001]-MEA de RE DMK indice D (PNPP 1184) 2C2017 DAM";"06/03/14";"31/12/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"EDF";"00006845";"00006845";"DOCN";;"[DI001]-MEA de RE DMK indice D (PNPP 1184) 4C2017 DAM";"06/03/14";"APPROUVÉ";"03/10/14";
"DAM";"00006845 ";"DOCN";" ";"[DI001]-MEA de RE DMK indice D (PNPP 1184) 4C2017 DAM";"06/03/14";"31/12/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"9E";"EDF";"00003381";"00003381";"DOCN";;"[DI001]-MEA de RE DMK indice D (PNPP 1184)";"30/07/13";"ANNULÉ";"27/02/14";
"DAM";"00006845 ";"DOCN";" ";"[DI001]-MEA de RE DMK indice D (PNPP 1184) 4C2017 DAM";"06/03/14";"31/12/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"9E";"EDF";"00006716";"00006716";"DOCN";;"[DI001]-MEA de RE DMK indice D (PNPP 1184) (remplace PA3381)";"21/02/14";"APPROUVÉ";"27/02/14";
"DAM";"00006845 ";"DOCN";" ";"[DI001]-MEA de RE DMK indice D (PNPP 1184) 4C2017 DAM";"06/03/14";"31/12/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"EDF";"00004335";"00004335";"DOCN";;"DI001-MEA de RE DMK indice D PNPP1184-1234C2015 DAM";"07/11/13";"ANNULÉ";"31/03/14";
"DAM";"00006845 ";"DOCN";" ";"[DI001]-MEA de RE DMK indice D (PNPP 1184) 4C2017 DAM";"06/03/14";"31/12/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"EDF";"00006837";"00006837";"DOCN";;"[DI001]-MEA de RE DMK indice D (PNPP 1184) 1C2017 DAM";"06/03/14";"CLÔTURÉ";"11/04/17";
"DAM";"00006845 ";"DOCN";" ";"[DI001]-MEA de RE DMK indice D (PNPP 1184) 4C2017 DAM";"06/03/14";"31/12/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"EDF";"00006843";"00006843";"DOCN";;"[DI001]-MEA de RE DMK indice D (PNPP 1184) 3C2017 DAM";"06/03/14";"CLÔTURÉ";"07/06/17";
"DAM";"00006845 ";"DOCN";" ";"[DI001]-MEA de RE DMK indice D (PNPP 1184) 4C2017 DAM";"06/03/14";"31/12/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"DAM";"EDF";"00006844";"00006844";"DOCN";;"[DI001]-MEA de RE DMK indice D (PNPP 1184) 2C2017 DAM";"06/03/14";"APPROUVÉ";"03/10/14";
"DAM";"00009279 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°1 à 108, 03/2012 à 04/2014";"06/06/14";"30/10/14";" ";"DAM";"PAIDSILD";;;;"APPROUVÉ";"DAM";"EDF";"00009375";"00009375";"DOCN";;"Intégration des DEDs SDIN FDD n°109 à 113 Mai 2014";"18/06/14";"APPROUVÉ";"18/06/14";
"DAM";"00009279 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°1 à 108, 03/2012 à 04/2014";"06/06/14";"30/10/14";" ";"DAM";"PAIDSILD";;;;"APPROUVÉ";"DAM";"EDF";"00009712";"00009712";"DOCN";;"Intégration des DEDs SDIN FDD n°114 à 117 Juin 2014";"23/07/14";"APPROUVÉ";"24/07/14";
