
"Après avoir décoché les actions ILD, si le PA ne contient plus AUCUNE Action ""Active"", le pilote du PA peut lancer la procédure de clôture.";;;;;;;;;;;;;;

"N° PA";"Grp Resp";"Spec";"Libellé PA";"Création";"Echéance";"Statut";"Active";;;;;;"Active";".";"Close";;"Close";".";
"00027268 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°192 à 195 DECEMBRE 2015";"13/01/16";"31/03/16";"APPROUVÉ";;;;"1";;;"1";;;"8";"8";;
"00030591 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°196 à 199 JANVIER 2016";"15/02/16";"30/04/16";"APPROUVÉ";;;;"2";;;"2";;;"8";"8";;
"00014835 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°136 à 139 Novembre 2014";"10/12/14";"01/05/16";"APPROUVÉ";;;;"2";;;"2";;;"9";"9";;
"00015219 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°140 à 143 Décembre 2014";"16/01/15";"01/05/16";"APPROUVÉ";;;;"2";;;"2";;;"9";"9";;
"00015567 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°144 à 148 Janvier 2015";"05/02/15";"01/05/16";"APPROUVÉ";;;;"2";;;"2";;;"9";"9";;
"00017469 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°149 à 152 Février 2015";"13/04/15";"01/05/16";"APPROUVÉ";;;;"2";;;"2";;;"8";"8";;
"00017473 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°153 à 156 Mars 2015";"13/04/15";"01/05/16";"APPROUVÉ";;;;"2";;;"2";;;"8";"8";;
"00019083 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°157 à 161 AVRIL 2015";"19/05/15";"01/05/16";"APPROUVÉ";;;;"2";;;"2";;;"8";"8";;
"00019575 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°162 à 165 MAI 2015";"08/06/15";"01/05/16";"APPROUVÉ";;;;"2";;;"2";;;"8";"8";;
"00021373 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°166 à 169 JUIN 2015";"21/07/15";"01/05/16";"APPROUVÉ";;;;"2";;;"2";;;"8";"8";;
"00024011 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°175 à 178 AOUT 2015";"01/10/15";"01/05/16";"APPROUVÉ";;;;"2";;;"2";;;"8";"8";;
"00024012 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°179 à 182 SEPTEMBRE 2015";"01/10/15";"01/05/16";"APPROUVÉ";;;;"2";;;"2";;;"8";"8";;
"00032341 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°200 à 203 FEVRIER 2016";"14/03/16";"31/05/16";"APPROUVÉ";;;;"2";;;"2";;;"8";"8";;
"00022743 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°170 à 174 JUILLET 2015";"24/08/15";"01/06/16";"APPROUVÉ";;;;"2";;;"2";;;"8";"8";;
"00026426 ";"PASIRPI";"SIR";"[PIE] - récipient GSSx00ZZ-C/F 1234P 2017-2018";"15/12/15";"16/06/16";"APPROUVÉ";;;;;;;;;;"3";"3";;
"00026436 ";"PASIRPI";"SIR";"[PIE] - récipient GSSx02BA 1234P 2017-2018";"15/12/15";"21/06/16";"APPROUVÉ";;;;"1";;;"1";;;"2";"2";;
"00020253 ";"PAIDSPI";"IDS";"DI001 - MEA de AP913 TF1468 - J1A - 1234P2017 DAM";"23/06/15";"30/06/16";"APPROUVÉ";"1";;;;;;"1";;;"5";"5";;
"00020530 ";"PAIDSPRSYS";"VCL";"DI001-Déclinaison PB900 AM470-06 ind0 - 1234P2017 - DAM";"30/06/15";"30/06/16";"APPROUVÉ";;"1";;;"1";;"2";;"4";"1";"5";;
"00025169 ";"PALNUPI";" ";"DI001 - MEA NTAQ PDR D4507070907 IND 2 - 1234P2017 DAM";"04/11/15";"30/06/16";"APPROUVÉ";"1";;;;;;"1";;;"3";"3";;
"00028378 ";"PAIPEPI";" ";"DI001-PB900 AM-130-02 indice 2  1234P2017- DAM";"28/01/16";"30/06/16";"APPROUVÉ";;;;;;;;;;"5";"5";;
"00034465 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°204 à 206 MARS 2016";"12/04/16";"30/06/16";"APPROUVÉ";;;;"2";;;"2";;;"8";"8";;
"00027140 ";"PASIRPI";"SIR";"[PIE] - récipient DAT et PMC TEM 2016";"08/01/16";"13/07/16";"APPROUVÉ";"1";;;"1";;;"2";;;"2";"2";;
"00036715 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°207 à 211 AVRIL 2016";"17/05/16";"31/07/16";"APPROUVÉ";;;;"2";;;"2";;;"8";"8";;
"00024273 ";"PAIDSPI";"IDS";"DEROGATION - D455015034542/843/844 - 1234P2016 DAM";"09/10/15";"01/08/16";"APPROUVÉ";"1";;;;;;"1";;"1";"1";"2";;
"00039012 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°212 à 214 MAI 2016";"15/06/16";"31/08/16";"APPROUVÉ";;;;"2";;;"2";;;"8";"8";;
"00035314 ";"PAIDSPRCOM";"AUT";"DEROGATION : D455016012065 - 1234C2016 DAM";"25/04/16";"01/09/16";"APPROUVÉ";;;"1";;;;"1";;;;;;
"00031363 ";"PALNUPI";" ";"DI001-MEA REX 2015 refonte objets SDIN COMBUST 1234P2016 DAM";"26/02/16";"30/09/16";"APPROUVÉ";;;;;"1";;"1";;;;;;
"00041134 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°215 à 219 JUIN 2016";"18/07/16";"30/09/16";"APPROUVÉ";;;;"3";;;"3";;;"7";"7";;
"00043448 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°220 à 223 JUILLET 2016";"18/08/16";"31/10/16";"APPROUVÉ";;;;"3";;;"3";;;"7";"7";;
"00036356 ";"PASIRPI";"SIR";"[PIE] - fonction AHP600TY-2 1234P 2017-2018";"10/05/16";"11/11/16";"APPROUVÉ";;;;"1";;;"1";;;"2";"2";;
"00045300 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°224 à 227 AOUT 2016";"14/09/16";"30/11/16";"APPROUVÉ";;;;"2";;;"2";;;"8";"8";;
"00046259 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°228 à 229 SEPTEMBRE 2016";"26/09/16";"30/11/16";"APPROUVÉ";;;;"3";;;"3";;;"7";"7";;
"00015461 ";"PASURPRPQ";" ";"DI001 - MEA MQ 2016 indice 5 - 1234C2016 DAM";"28/01/15";"01/12/16";"NOTIFIÉ";;;;;;"2";"2";;;;;;
"00032983 ";"PALABPI";" ";"DI001 - MHA SPECIFICATIONS RADIO-CHIMIQUES-1234C2017 DAM";"24/03/16";"01/12/16";"APPROUVÉ";;;;;;"1";"1";;;;;;
"00047047 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°230 à 231 2016";"10/10/16";"22/12/16";"APPROUVÉ";;;;"3";;;"3";;;"7";"7";;
"00018537 ";"PAIDSPRTRA";"ENV";"DI001 - MEA maitrise confinement AP 13-05 - 1234C2016 DAM";"24/04/15";"31/12/16";"APPROUVÉ";;;;;;;;;;"10";"10";;
"00020503 ";"PASPRPI";" ";"DI001-MEA IND5 CPTABILISAT° DOSES ET SYST INFO-1234C2017 DAM";"29/06/15";"31/12/16";"APPROUVÉ";"1";;;;;;"1";;;;;;
"00020508 ";"PASPRPI";" ";"DI001 - MEA DE L'IND4 ""OPTIMISAT° RADIOPRO"" -  1234C2017 DAM";"29/06/15";"31/12/16";"APPROUVÉ";"1";;;;;;"1";;;;;;
"00023529 ";"PAINFPI";" ";"DI001-DT346 ind1 GEST° MDP/SUPPORTS AMOVIBLES-1234C2016 DAM";"17/09/15";"31/12/16";"APPROUVÉ";"1";;;"1";"2";;"4";;;;;;
"00035333 ";"PACHAPI";"CHA";"DI001 - MEA ARRETE 12/12/2005 RELATIF ESPN - 1234C2016 DAM";"25/04/16";"31/12/16";"NOTIFIÉ";;;;;;"1";"1";;;;;;
"00044135 ";"PAIDSPI";"IDS";"DEROGATION : D455016034405 - 1234C2016 DAM";"29/08/16";"31/12/16";"APPROUVÉ";;;;"2";;;"2";;;"2";"2";;
"00047858 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°232 à 233 OCTO 2016";"20/10/16";"31/12/16";"APPROUVÉ";;;;"3";;;"3";;;"7";"7";;
"00047867 ";"PAMAGPRDOC";" ";"DI001 - MEA GUIDE MANAGEMENT 102 - 1234C2016 DAM";"20/10/16";"31/12/16";"APPROUVÉ";;;;;;"1";"1";;;;;;
"00048710 ";"PAIDSPRCOM";"CHA";"DI001 - REQUALIF. PERIODIQUE SOUPAPES SEBIM - 1234P2017 DAM";"03/11/16";"31/12/16";"APPROUVÉ";;;;;;;;;;"1";"1";;
"00048748 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°234 à 235 NOV 2016";"03/11/16";"31/12/16";"APPROUVÉ";;;;"3";;;"3";;;"7";"7";;
"00049638 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°236 à 237 NOV 2016";"22/11/16";"31/12/16";"APPROUVÉ";;;;"3";;;"3";;;"7";"7";;
"00004966 ";"PAIDSPRCOM";"CHA";"[DI001]-MEA du PB450 12 ind 0-Ancrages IPS 1234C2013-DAM";"17/12/13";"01/01/17";"APPROUVÉ";;;;;;"1";"1";;;"1";"1";;
"00040173 ";"PASIRPI";"SIR";"[PIE] - fonction APP603TY 1234P 2017-2018";"06/07/16";"06/01/17";"APPROUVÉ";;;;;;;;;;"3";"3";;
"00040181 ";"PASIRPI";"SIR";"[PIE] - fonction APP604TY-A 1234P 2017-2018";"06/07/16";"06/01/17";"APPROUVÉ";;;;;;;;;;"3";"3";;
"00051458 ";"PAIDSPRCOM";"CHA";"DI001 - MEA PB900 AM450 08 ind.0 - PBMP Ancrage - Local DAM";"21/12/16";"06/01/17";"APPROUVÉ";"1";;;;;;"1";;;;;;
"00047961 ";"PAAUTPI";" ";"DI001 - MEA GAM MUTUALIS SUITE REX EXP - 1234C2016 DAM";"21/10/16";"31/01/17";"APPROUVÉ";;;"1";;;;"1";;;;;;
"00050505 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°238 à 239 DEC 2016";"02/12/16";"31/01/17";"APPROUVÉ";;;;"3";;;"3";;;"7";"7";;
"00051201 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°240 à 241 DEC 2016";"15/12/16";"05/02/17";"APPROUVÉ";;;;"3";"1";;"4";;;"6";"6";;
"00052549 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°242 à 244 JANV 2017";"05/01/17";"16/02/17";"APPROUVÉ";;;"1";"3";;;"4";;;"6";"6";;
"00022961 ";"PACHAPI";"CHA";"Cplmts PNPP1402 -visite périodique SAR050BA-1234P2017-DAM";"31/08/15";"01/03/17";"NOTIFIÉ";;;;;;"4";"4";;;;;;
"00045238 ";"PASIRPI";"SIR";"[PIE] - récipients VVP010/020/030/274BA 1234P 2017-2018";"13/09/16";"14/03/17";"APPROUVÉ";"1";;;;;;"1";;;"2";"2";;
"00047824 ";"PASPRPI";" ";"DI001 - MEA PP58 SEANCE D ACCUEIL PRESTA - 1234C2017 DAM";"19/10/16";"16/03/17";"APPROUVÉ";"1";;;;;;"1";;;;;;
"00054022 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°245 à 247 JAN 2017";"27/01/17";"16/03/17";"APPROUVÉ";;;;"3";;;"3";;;"7";"7";;
"00055248 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°248 & 249 FEV 2017";"13/02/17";"16/03/17";"APPROUVÉ";;;;"3";;;"3";;;"7";"7";;
"00045434 ";"PASIRPI";"SIR";"[PIE] - récipients GSSx00ZZ-C 24P 2018";"16/09/16";"20/03/17";"APPROUVÉ";"1";;;;;;"1";;;"2";"2";;
"00044102 ";"PAIDSILD";" ";"DI001 - MHA BASE MAINTENANCE PREVENTIVE - 1234C2017 DAM";"29/08/16";"31/03/17";"APPROUVÉ";;;;"1";;;"1";;;"3";"3";;
"00045284 ";"PASPRPI";" ";"DI001 - MEA REFERENTIEL INCENDIE - 1234C2017 DAM";"14/09/16";"31/03/17";"APPROUVÉ";;;;"2";;;"2";;;;;;
"00048725 ";"PACHAPI";" ";"DI001 - REX sur les soupapes SEBIM RRA-RCV - 1234C2016 DAM";"03/11/16";"31/03/17";"NOTIFIÉ";;;;;;"1";"1";;;;;;
"00028355 ";"PASPRPI";" ";"DI001 - MHA règles de RP - 1234C2017 DAM";"28/01/16";"01/04/17";"APPROUVÉ";"1";;;;;;"1";;;;;;
"00055279 ";"PASURPRCRI";" ";"DI001-MEA DA SI COLLAB FAS PUI ET PAM TPAL 1234C2016 DAM";"13/02/17";"03/04/17";"APPROUVÉ";;;;"1";;;"1";;;;;;
"00056502 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°250 à 251 FEV 2017";"23/02/17";"13/04/17";"APPROUVÉ";;;;"3";;;"3";;;"7";"7";;
"00047499 ";"PASIRPI";"SIR";"[PIE] - fonction GCT606TY-B 1234P 2017-2018";"17/10/16";"18/04/17";"APPROUVÉ";;;;"2";;;"2";;;;;;
"00057771 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°252 ET 253 FEV 2017";"09/03/17";"27/04/17";"APPROUVÉ";;;;"3";;;"3";;;"7";"7";;
"00055258 ";"PAIDSPRCOM";"ELE";"DEROGATION : D455016081777 - 1234C2016 DAM";"13/02/17";"10/05/17";"APPROUVÉ";;;;;"1";;"1";;;;;;
"00048888 ";"PASIRPI";"SIR";"[PIE] - récipients SAR (hors EIP) toutes tr P/TEM 2017-2018";"08/11/16";"18/05/17";"APPROUVÉ";"1";;;;;;"1";;;"2";"2";;
"00059011 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°254 à 255 MARS 2017";"24/03/17";"20/05/17";"APPROUVÉ";;;;"4";;;"4";;;"6";"6";;
"00051366 ";"PASIRPI";"SIR";"[PIE] - récipient X STR 001 TX C et F 1234P 2016-2017";"19/12/16";"30/05/17";"APPROUVÉ";;;;"1";;;"1";;;"2";"2";;
"00042724 ";"PAIDSPRSYS";" ";"DI001 - MEA DOCTRINE DE MAINT SYST CTE - 1234C2017 DAM";"08/08/16";"31/05/17";"APPROUVÉ";;;;;;"1";"1";;;;;;
"00056512 ";"PASURPRCH9";" ";"DI001-MEA FA DVK005 IN B FA KRT033 IN B PNPP1490-3C2017 DAM";"23/02/17";"31/05/17";"APPROUVÉ";;;"1";;;;"1";;;"2";"2";;
"00060104 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°256 à 257 AVR 2017";"06/04/17";"31/05/17";"APPROUVÉ";;;"2";"4";;;"6";;;"4";"4";;
"00061439 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°258 à 259 AVR 2017";"24/04/17";"07/06/17";"APPROUVÉ";;;"1";"4";"1";;"6";;;"4";"4";;
"00050916 ";"PASIRPI";"SIR";"[PIE] - récipient GHE001DZ 1234P 2017-2018";"09/12/16";"28/06/17";"APPROUVÉ";;;;"2";;;"2";;;;;;
"00062125 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°260 à 261 MAI 2017";"04/05/17";"28/06/17";"APPROUVÉ";;;"2";"4";;;"6";;;"4";"4";;
"00022918 ";"PAIDSPRTRA";" ";"DI001-MEA FA 01 RPMQ CPY VD2 ind2 et VD3 ind1-1234C2015 DAM";"27/08/15";"30/06/17";"APPROUVÉ";"1";;;;;;"1";;;"2";"2";;
"00036934 ";"PAIDSPRCOM";"CHA";"DI001 - MEA RNM TPAL AM 450-09 IND 2 - 1234P2018 DAM";"20/05/16";"30/06/17";"APPROUVÉ";;;;"1";;;"1";;;"1";"1";;
"00039085 ";"PAIDSPRCOM";"CHA";"PLMP-SUIVI CORROS°/EROS° LIGN NON MODELISE BRT-1234C2018 DAM";"16/06/16";"30/06/17";"APPROUVÉ";;;;"1";;;"1";;;;;;
"00039971 ";"PAINFPI";" ";"DI001 - MEA GUIDE MANAGEMENT 996 - 1234C2017 DAM";"30/06/16";"30/06/17";"APPROUVÉ";"1";;;;;;"1";;;;;;
"00039975 ";"PAPJTPI";" ";"DI001 -MEA GUIDE 796:MAITRISE QUAL MAINT EXPL-1234C2017 DAM";"30/06/16";"30/06/17";"NOTIFIÉ";;;;;;"1";"1";;;;;;
"00042696 ";"PAIPEPI";"GCV";"DI001 - MEA PBMP REFREGERANTS ATMOSPHERIQUE - 1234C2016 DAM";"08/08/16";"30/06/17";"APPROUVÉ";"2";;"1";;;;"3";;;"7";"7";;
"00042706 ";"PAIDSPI";"IDS";"DI001 - MEA STRATEGIE DE MAINT D455016008492 - 1234C2017 DAM";"08/08/16";"30/06/17";"APPROUVÉ";"1";;;;;;"1";;;;;;
"00046236 ";"PADIRPI";" ";"DI001 - MEA GUIDE 696 - 1234C2017 DAM";"26/09/16";"30/06/17";"NOTIFIÉ";;;;;;"1";"1";;;;;;
"00046262 ";"PAIPEPI";" ";"DI001 - MEA PROGR BASE MAINT PREVENT SDM - 1234C2017 DAM";"26/09/16";"30/06/17";"APPROUVÉ";"4";;;;;;"4";;;;;;
"00048714 ";"PAIDSPI";"IDS";"REX HIVER 2012 FROID INTENSE - 1234C2016 DAM";"03/11/16";"30/06/17";"APPROUVÉ";;;;"1";;;"1";;;"2";"2";;
"00048729 ";"PAIDSPI";"IDS";"DI001 - MEA de PB900 AP913-01&02 ind 3 - 1234P2018 DAM";"03/11/16";"30/06/17";"APPROUVÉ";"2";;"1";"3";;;"6";;;"7";"7";;
"00050507 ";"PASURPRCH3";" ";"DI001- MEA de DA STE RPR IPCTEM2017 DAM";"02/12/16";"30/06/17";"APPROUVÉ";;;;"2";"1";;"3";;;;;;
"00051231 ";"PAIDSPRCOM";"ROB";"DI001 - ROB/CLAP ISOL TUY CANAL REJET ENVIRO - 1234C2016 DAM";"15/12/16";"30/06/17";"APPROUVÉ";"1";;;"1";;;"2";;;;;;
"00055287 ";"PAIDSPRCOM";"CHA";"DI001-PREDIFF PBMP PB MAT TPAL AM450-01 IND 0- 2P2018 DAM";"13/02/17";"30/06/17";"APPROUVÉ";"1";;;;;;"1";;;;;;
"00062213 ";"PAIDSPRCOM";"CHA";"DEROGATION : D455017008642 - 4P2018 DAM";"05/05/17";"30/06/17";"APPROUVÉ";;;;"1";;;"1";;;;;;
"00065698 ";"PAAUTPI";" ";"DI001- MEA de la FA KPS 011 indice B IPCTEM2018";"15/06/17";"30/06/17";"NOTIFIÉ";;;;;;"1";"1";;;;;;
"00010970 ";"PAIDSPRTRA";" ";"DI001 - REX CL4 D0900CP1400050 - 1P2017 DAM";"09/09/14";"01/07/17";"APPROUVÉ";;;;"1";;;"1";;;"1";"1";;
"00058987 ";"PASURPRCH9";" ";"DI001- MEA FA REN 019 et NEC PNPPi632 - 1P2017 DAM";"24/03/17";"01/07/17";"APPROUVÉ";;;"1";"1";;;"2";;"1";"1";"2";;
"00003775 ";"PASURPRCH9";" ";"[DI001]-MEA FA RRI024B & RIS092 - PNPP1267B- 1P2017 DAM";"10/10/13";"08/07/17";"APPROUVÉ";;"1";;"1";;;"2";;"1";"1";"2";;
"00003785 ";"PASURPRCH9";" ";"[DI001]-MEA du DA GRANDS CHAUDS- CH9- 1P2017-DAM";"10/10/13";"08/07/17";"APPROUVÉ";;;;"2";"1";;"3";;;"5";"5";;
"00004975 ";"PASURPRCH9";" ";"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)- 1P2017-DAM";"19/12/13";"08/07/17";"APPROUVÉ";;;"1";"1";;;"2";;;"1";"1";;
"00057777 ";"PAEXPPI";" ";"DI001- MEA PNPP1086C-Màj du module SAPA - 1234C2017 DAM";"09/03/17";"10/07/17";"APPROUVÉ";"1";;;"1";;;"2";;;;;;
"00063302 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°262 à 263 MAI 2017";"18/05/17";"15/07/17";"APPROUVÉ";;;"2";"4";"1";;"7";;;"3";"3";;
"00053027 ";"PASIRPI";"SIR";"[PIE] - récipient AGR-GFR-GGR 1234P 2017-2018-2019";"12/01/17";"16/07/17";"APPROUVÉ";;;;"2";;;"2";;;"1";"1";;
"00053215 ";"PASIRPI";"SIR";"[PIE] - récipient ABP 40X RE C/F 1234P 2017-2018-2019";"13/01/17";"16/07/17";"APPROUVÉ";;;;"1";;;"1";;;"2";"2";;
"00003595 ";"PASURPRCH3";" ";"DI001-STE Amendement au ""DA Grands Chauds""-1P3417";"19/09/13";"18/07/17";"APPROUVÉ";;;;;;"2";"2";;;;;;
"00003629 ";"PASURPRCH3";" ";"DI001 - STE PNPP1267 TOME B POMPES RCV - 1P2017 DAM";"25/09/13";"18/07/17";"APPROUVÉ";;;;;;"1";"1";;;;;;
"00064616 ";"PAEXPPI";" ";"DI001- MEA GAMMES MUT SUITE REX EXPL - 1234C2017 DAM";"02/06/17";"18/07/17";"APPROUVÉ";;;;"2";;;"2";;;;;;
"00062187 ";"PAIDSPRCOM";"CHA";"DEROGATION : D455016076246 - 1234C2017 DAM";"04/05/17";"25/07/17";"APPROUVÉ";;;;;;"1";"1";;;;;;
"00064622 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°264 à 265 MAI 2017";"02/06/17";"30/07/17";"APPROUVÉ";;;"2";"4";"1";;"7";;;"3";"3";;
"00003562 ";"PASURPRCH6";" ";"DI001 - CIA - Référentiel DA GD CHD + Compl CPY - 1P2017-DAM";"16/09/13";"31/07/17";"APPROUVÉ";;;;"2";;;"2";;;;;;
"00003665 ";"PASURPRCH6";" ";"DI001 - CIA PNPP1267 - 1P2017 DAM";"01/10/13";"31/07/17";"APPROUVÉ";;;;"1";;;"1";;;;;;
"00003669 ";"PASURPRCH6";" ";"DI001 - CIA DA RCV PNPP1267 Tome B - 1P2017- DAM";"01/10/13";"31/07/17";"APPROUVÉ";;;;"1";;;"1";;;;;;
"00003673 ";"PASURPRCH6";" ";"DI001 - CIA DA GChauds  - 1P2017-DAM";"01/10/13";"31/07/17";"APPROUVÉ";"1";;;;;;"1";;;;;;
"00054171 ";"PASIRPI";"SIR";"[PIE] - récipient GSS x01 BA 1234P 2017-2018-2019";"30/01/17";"31/07/17";"APPROUVÉ";;;;"1";;;"1";;;"1";"1";;
"00032994 ";"PAAUTPI";" ";"DI001-REX P1 juil 2015-création EPA RRI 471/472- 1P2017 DAM";"24/03/16";"01/08/17";"APPROUVÉ";;;;"1";;;"1";;;;;;
