
"N° PA (lien EAM A010)";"Type de PA";"Discipline";"Libellé du PA";"Date création PA";"Date échéance PA";"Repère équipement";"Créateur";"Créateur/Groupe";"Site responsable plan d'actions";"Groupe responsable";"Service responsable PA";"Nom responsable PA";"Impact CPP/CSP";"Libellé statut plan d'action";"Statut actuel.Date modif statut";
"00004975 ";"DOCN";" ";"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)- 1P2017-DAM";"19/12/13";"08/07/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"26/01/15";
"00004980 ";"DOCN";" ";"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)- 3P2017-DAM";"19/12/13";"27/09/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"26/01/15";
"00006563 ";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 1P2015 DAM";"28/01/14";"31/12/19";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"05/03/14";
"00006567 ";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 2P2016 DAM";"28/01/14";"31/12/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"05/03/14";
"00006568 ";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 4P2016 DAM";"28/01/14";"31/12/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"05/03/14";
"00006577 ";"DOCN";"VCL";"DI001-PB AM450 14 (0) Ancrage ventilation IPS-1234P2015 DAM";"28/01/14";"30/06/14";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRSYS";;;;"APPROUVÉ";"04/02/14";
"00006637 ";"DOCN";"IDS";"DI001 - PB900-AP913-01 et 02 ind.2 - 1234P2015  DAM";"10/02/14";"12/02/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPI";;;;"APPROUVÉ";"21/03/14";
"00006643 ";"DOCN";" ";"DI001-DP205 ind6 pose/dépose des shunts RPN uniquement-DAM";"11/02/14";"09/06/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAAUTPI";;;;"APPROUVÉ";"11/02/14";
"00006844 ";"DOCN";" ";"[DI001]-MEA de RE DMK indice D (PNPP 1184) 2C2017 DAM";"06/03/14";"31/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"03/10/14";
"00006845 ";"DOCN";" ";"[DI001]-MEA de RE DMK indice D (PNPP 1184) 4C2017 DAM";"06/03/14";"31/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"03/10/14";
"00009279 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°1 à 108, 03/2012 à 04/2014";"06/06/14";"30/10/14";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"06/06/14";
"00009375 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°109 à 113 Mai 2014";"18/06/14";"31/08/14";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"18/06/14";
"00009712 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°114 à 117 Juin 2014";"23/07/14";"30/09/14";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"24/07/14";
"00009866 ";"DOCN";" ";"MODELE DI001 - TITRE - 1234C2016 DAM";"04/08/14";"31/12/99";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"NOUVEAU";"04/08/14";
"00009881 ";"DOCN";" ";"DI001-DP205 ind.7 Actions de réduction des AAR-1234C2017 DAM";"04/08/14";"31/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAAUTPI";;;;"APPROUVÉ";"21/08/14";
"00010970 ";"DOCN";" ";"DI001 - REX CL4 D0900CP1400050 - 1P2017 DAM";"09/09/14";"01/07/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRTRA";;;;"APPROUVÉ";"11/09/14";
"00011088 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°118 à 121 Juillet 2014";"17/09/14";"31/10/14";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"17/09/14";
"00011092 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°122 à 126 Aout 2014";"18/09/14";"30/11/14";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"18/09/14";
"00011196 ";"DOCN";"ENV";"DI001 - DT 350 indice 1 - 1234C2017 DAM";"25/09/14";"31/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRTRA";;;;"APPROUVÉ";"29/09/14";
"00011248 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°127 à 130 Septembre 2014";"29/09/14";"31/12/14";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"29/09/14";
"00013557 ";"DOCN";" ";"Mise en application déclinant la PNXX 1738- 2P2018- DAM";"04/11/14";"30/06/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"17/11/14";
"00013558 ";"DOCN";" ";"Mise en application déclinant la PNXX 1738- 4P2018 - DAM";"04/11/14";"28/05/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"17/11/14";
"00013561 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°131 à 135 Octobre 2014";"05/11/14";"31/01/15";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"05/11/14";
"00013967 ";"DOCN";" ";"DI001 - Amendement STE modif PNPP1371 - 3P2017 DAM";"20/11/14";"09/09/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH3";;;;"APPROUVÉ";"25/11/14";
"00014835 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°136 à 139 Novembre 2014";"10/12/14";"01/05/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"10/12/14";
"00015219 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°140 à 143 Décembre 2014";"16/01/15";"01/05/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"05/02/15";
"00015256 ";"DOCN";"ELE";"DI001 - MEA DP323 Indice 0 - 1234P2018 DAM";"19/01/15";"31/12/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"19/01/15";
"00015461 ";"DOCN";" ";"DI001 - MEA MQ 2016 indice 5 - 1234C2016 DAM";"28/01/15";"01/12/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRPQ";;;;"NOTIFIÉ";"28/01/15";
"00015464 ";"DOCN";"ELE";"DI001 - DP321 ctl fixations clips - 1P2015-2017 DAM";"28/01/15";"01/12/19";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"29/01/15";
"00015465 ";"DOCN";"ELE";"DI001 - DP321 ctl fixations clips - 2P2016-2018 DAM";"28/01/15";"01/12/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"29/01/15";
"00015466 ";"DOCN";"ELE";"DI001 - DP321 ctl fixations clips - 4P2016-2018 DAM";"28/01/15";"01/12/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"29/01/15";
"00015467 ";"DOCN";"ELE";"DI001 - DP321 ctl fixations clips - 3P2015-2017 DAM";"28/01/15";"01/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"29/01/15";
"00015567 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°144 à 148 Janvier 2015";"05/02/15";"01/05/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"05/02/15";
"00016164 ";"DOCN";"CHA";"DI001 - FA 4 PBMP AM-150-01 indice 0 - 1234C2017 DAM";"26/02/15";"31/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PACHAPI";;;;"NOTIFIÉ";"26/02/15";
"00017469 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°149 à 152 Février 2015";"13/04/15";"01/05/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"13/04/15";
"00017473 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°153 à 156 Mars 2015";"13/04/15";"01/05/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"13/04/15";
"00018537 ";"DOCN";"ENV";"DI001 - MEA maitrise confinement AP 13-05 - 1234C2016 DAM";"24/04/15";"31/12/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRTRA";;;;"APPROUVÉ";"27/04/15";
"00018539 ";"DOCN";" ";"DI001 - MEA DI128 indice 1 - 1234C2015 DAM";"24/04/15";"01/08/15";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRPQ";;;;"APPROUVÉ";"27/04/15";
"00019077 ";"DOCN";"SIR";"[PIE] - fonction ABP050TY 1234P 2016-2017";"19/05/15";"29/01/16";" ";;;"DAM";"PASIRPI";;;;"SOUMIS";"19/05/15";
"00019083 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°157 à 161 AVRIL 2015";"19/05/15";"01/05/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"19/05/15";
"00019145 ";"DOCN";" ";"DI001 - MEA de la FA RRI 034 C PNPP1371 - 3P2017 DAM";"21/05/15";"01/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"21/05/15";
"00019494 ";"DOCN";" ";"DI001 - DT396 (1) Management du Pluriannuel - 1234C2017 DAM";"04/06/15";"31/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAPJTPI";;;;"NOTIFIÉ";"04/06/15";
"00019575 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°162 à 165 MAI 2015";"08/06/15";"01/05/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"08/06/15";
"00020253 ";"DOCN";"IDS";"DI001 - MEA de AP913 TF1468 - J1A - 1234P2017 DAM";"23/06/15";"30/06/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPI";;;;"APPROUVÉ";"26/08/15";
"00020292 ";"DOCN";" ";"DI001 - MEA DE LA MAJ DE LA NTAQ 00289 - 1234C2015 DAM";"24/06/15";"01/10/15";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAFARPI";;;;"NOTIFIÉ";"24/06/15";
"00020503 ";"DOCN";" ";"DI001-MEA IND5 CPTABILISAT° DOSES ET SYST INFO-1234C2017 DAM";"29/06/15";"31/12/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASPRPI";;;;"APPROUVÉ";"28/07/15";
"00020508 ";"DOCN";" ";"DI001 - MEA DE L'IND4 ""OPTIMISAT° RADIOPRO"" -  1234C2017 DAM";"29/06/15";"31/12/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASPRPI";;;;"APPROUVÉ";"28/07/15";
"00020530 ";"DOCN";"VCL";"DI001-Déclinaison PB900 AM470-06 ind0 - 1234P2017 - DAM";"30/06/15";"30/06/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRSYS";;;;"APPROUVÉ";"27/08/15";
"00020999 ";"DOCN";"SIR";"[PIE] - fonction AHP003TY 1234P 2015-2016-2017";"06/07/15";"24/09/15";" ";"PASIRPI";"PASIRPI";"DAM";"PASIRPI";;;;"APPROUVÉ";"06/07/15";
"00021063 ";"DOCN";"SIR";"[PIE] - fonction AHP009TY 1234P 2016-2017";"07/07/15";"24/09/15";" ";"PASIRPI";"PASIRPI";"DAM";"PASIRPI";;;;"APPROUVÉ";"27/12/16";
"00021084 ";"DOCN";" ";"DI001 - FA ASG 059 et LLS037- 1234P2018 DAM";"08/07/15";"31/12/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"21/07/15";
"00021085 ";"DOCN";" ";"DI001 - PPN°97 - Calo TH GV SEC -  1234P2013- DAM";"08/07/15";"30/11/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PALNUPI";;;;"APPROUVÉ";"21/10/15";
"00021087 ";"DOCN";"ELE";"DI001-DP221 ind 2 Rempl. relais ITG série 100-1234P2020- DAM";"08/07/15";"31/12/20";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"02/09/15";
"00021093 ";"DOCN";" ";"DI001-CSE RSE FA ASG-123C2017 DAM";"08/07/15";"31/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAEXPPI";;;;"APPROUVÉ";"29/07/15";
"00021134 ";"DOCN";"ELE";"DI001-DP273 cables 6.6kV1234P2017- DAM";"09/07/15";"31/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"09/07/15";
"00021148 ";"DOCN";"SIR";"[PIE] - fonction AHP010TY 1234P 2016-2017";"10/07/15";"24/09/15";" ";;;"DAM";"PASIRPI";;;;"APPROUVÉ";"27/12/16";
"00021356 ";"DOCN";" ";"DI001 - FA ASG 064 indice A  sondes US- 1234C2018- DAM";"20/07/15";"31/12/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"21/07/15";
"00021373 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°166 à 169 JUIN 2015";"21/07/15";"01/05/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"22/07/15";
"00021793 ";"DOCN";"SIR";"[PIE] - fonction GCT606TYB 1234P 2016-2017";"30/07/15";"29/01/16";" ";;;"DAM";"PASIRPI";;;;"APPROUVÉ";"30/07/15";
"00022258 ";"DOCN";"SIR";"[PIE] - fonction AHP612TY 1234P 2016-2017";"13/08/15";"18/03/16";" ";"VULIN Amandine (E06455)";"VULIN Amandine (E06455)";"DAM";"PASIRPI";;;;"APPROUVÉ";"13/08/15";
"00022538 ";"DOCN";" ";"DI001 - DP327 ind0:Examen conformité VD4 900 - 1234C2016 DAM";"17/08/15";"31/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRTRA";;;;"APPROUVÉ";"21/08/15";
"00022548 ";"DOCN";" ";"[DI001]-MEA FA KRT034B-PNPP1483- KRT007MA- 1P2017-DAM";"17/08/15";"06/09/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"09/12/15";
"00022693 ";"DOCN";" ";"[DI001]- MAJ  CHAP9 LHP/Q044 PNPP1342 - 3P2017 - DAM";"20/08/15";"01/11/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"28/12/15";
"00022743 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°170 à 174 JUILLET 2015";"24/08/15";"01/06/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"24/08/15";
"00022918 ";"DOCN";" ";"DI001-MEA FA 01 RPMQ CPY VD2 ind2 et VD3 ind1-1234C2015 DAM";"27/08/15";"30/06/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRTRA";;;;"APPROUVÉ";"07/01/16";
"00022961 ";"DOCN";"CHA";"Cplmts PNPP1402 -visite périodique SAR050BA-1234P2017-DAM";"31/08/15";"01/03/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PACHAPI";;;;"NOTIFIÉ";"08/09/15";
"00023327 ";"DOCN";"SIR";"[PIE] - fonction GSS118TY 1234P 2016-2017";"11/09/15";"18/03/16";" ";"PREVOSTO Beatrice (BP038F4N)";"PREVOSTO Beatrice (BP038F4N)";"DAM";"PASIRPI";;;;"APPROUVÉ";"18/09/15";
"00023329 ";"DOCN";"SIR";"[PIE] - fonction GSS218TY 1234P 2016-2017";"11/09/15";"18/03/16";" ";"PREVOSTO Beatrice (BP038F4N)";"PREVOSTO Beatrice (BP038F4N)";"DAM";"PASIRPI";;;;"APPROUVÉ";"18/09/15";
"00023330 ";"DOCN";"SIR";"[PIE] - fonction GSS318TY 1234P 2016-2017";"11/09/15";"18/03/16";" ";"PREVOSTO Beatrice (BP038F4N)";"PREVOSTO Beatrice (BP038F4N)";"DAM";"PASIRPI";;;;"APPROUVÉ";"18/09/15";
"00023333 ";"DOCN";"SIR";"[PIE] - fonction GSS418TY 1234P 2016-2017";"11/09/15";"18/03/16";" ";"PREVOSTO Beatrice (BP038F4N)";"PREVOSTO Beatrice (BP038F4N)";"DAM";"PASIRPI";;;;"APPROUVÉ";"30/09/16";
"00023529 ";"DOCN";" ";"DI001-DT346 ind1 GEST° MDP/SUPPORTS AMOVIBLES-1234C2016 DAM";"17/09/15";"31/12/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAINFPI";;;;"APPROUVÉ";"30/10/15";
"00024011 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°175 à 178 AOUT 2015";"01/10/15";"01/05/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"01/10/15";
"00024012 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°179 à 182 SEPTEMBRE 2015";"01/10/15";"01/05/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"01/10/15";
"00024273 ";"DOCN";"IDS";"DEROGATION - D455015034542/843/844 - 1234P2016 DAM";"09/10/15";"01/08/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPI";;;;"APPROUVÉ";"18/07/16";
"00025169 ";"DOCN";" ";"DI001 - MEA NTAQ PDR D4507070907 IND 2 - 1234P2017 DAM";"04/11/15";"30/06/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PALNUPI";;;;"APPROUVÉ";"09/02/16";
"00025181 ";"DOCN";"EXP";"[DI001]-MEA de FA CA CPY 006 indice 0-PNPP 1702 - 2C2018 DAM";"04/11/15";"31/12/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRTRA";;;;"APPROUVÉ";"07/12/15";
"00025187 ";"DOCN";"EXP";"[DI001]-MEA de FA CA CPY 006 indice 0-PNPP 1702 - 4C2018 DAM";"04/11/15";"31/12/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRTRA";;;;"APPROUVÉ";"07/12/15";
"00025192 ";"DOCN";" ";"DI001-MEA PNPP1628 ""CASEMATAGE EVENT BACHE PTR"" - 3C2017 DAM";"04/11/15";"31/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH3";;;;"APPROUVÉ";"25/11/15";
"00025194 ";"DOCN";" ";"DI001-MEA PNPP1628 ""CASEMATAGE EVENT BACHE PTR"" - 4C2018 DAM";"04/11/15";"31/12/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH3";;;;"APPROUVÉ";"25/11/15";
"00025679 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°183 à 187 OCTOBRE 2015";"19/11/15";"31/01/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"19/11/15";
"00026372 ";"DOCN";" ";"DI001 - MEA DE L'INSTRUCTION ""PNPP1628"" - 3C2017 DAM";"14/12/15";"08/09/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"28/06/16";
"00026373 ";"DOCN";" ";"DI001 - MEA DE L'INSTRUCTION ""PNPP1628"" - 4C2018 DAM";"14/12/15";"30/06/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"28/06/16";
"00026376 ";"DOCN";" ";"DI001 - DP 328 IND0 ""DDG PTR"" - 1234C2015 DAM";"14/12/15";"30/06/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRSYS";;;;"APPROUVÉ";"14/12/15";
"00026382 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°188 à 191 NOVEMBRE 2015";"14/12/15";"29/02/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"14/12/15";
"00026390 ";"DOCN";" ";"DI001 - MEA IND.4 DU REFERENCIEL RADIOPRO - 1234C2017 DAM";"14/12/15";"01/01/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASPRPI";;;;"APPROUVÉ";"17/12/15";
"00026426 ";"DOCN";"SIR";"[PIE] - récipient GSSx00ZZ-C/F 1234P 2017-2018";"15/12/15";"16/06/16";" ";"PREVOSTO Beatrice (BP038F4N)";"PREVOSTO Beatrice (BP038F4N)";"DAM";"PASIRPI";;;;"APPROUVÉ";"16/12/15";
"00026436 ";"DOCN";"SIR";"[PIE] - récipient GSSx02BA 1234P 2017-2018";"15/12/15";"21/06/16";" ";"PREVOSTO Beatrice (BP038F4N)";"PREVOSTO Beatrice (BP038F4N)";"DAM";"PASIRPI";;;;"APPROUVÉ";"21/12/15";
"00026910 ";"DOCN";" ";"[DI001]-MEA de la FA DVK 009 - PNPP1628- 3C2017 DAM";"28/12/15";"31/08/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"28/12/15";
"00026911 ";"DOCN";" ";"[DI001]-MEA de la FA DVK 009 - PNPP1628- 4C2018 DAM";"28/12/15";"01/06/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"28/12/15";
"00026914 ";"DOCN";"EXP";"[DI001]-MEA de FA CA CPY 007 indice 0 - PNPP 1628-3C2017 DAM";"28/12/15";"31/10/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRTRA";;;;"APPROUVÉ";"30/12/15";
"00026915 ";"DOCN";"EXP";"[DI001]-MEA de FA CA CPY 007 indice 0 - PNPP 1628-4C2018 DAM";"28/12/15";"01/06/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRTRA";;;;"APPROUVÉ";"30/12/15";
"00027140 ";"DOCN";"SIR";"[PIE] - récipient DAT et PMC TEM 2016";"08/01/16";"13/07/16";" ";"PREVOSTO Beatrice (BP038F4N)";"PREVOSTO Beatrice (BP038F4N)";"DAM";"PASIRPI";;;;"APPROUVÉ";"13/01/16";
"00027268 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°192 à 195 DECEMBRE 2015";"13/01/16";"31/03/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSILD";;;;"APPROUVÉ";"13/01/16";
"00027378 ";"DOCN";"SIR";"[PIE] - récipient GSSx01BA 1234P 2017-2018";"14/01/16";"18/03/16";" ";"PREVOSTO Beatrice (BP038F4N)";"PREVOSTO Beatrice (BP038F4N)";"DAM";"PASIRPI";;;;"APPROUVÉ";"18/01/16";
"00027399 ";"DOCN";" ";"DI001-MHA DES REGLES DE RADIOPRO TS PALIERS - 1234C2016 DAM";"15/01/16";"31/12/16";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASPRPI";;;;"APPROUVÉ";"18/01/16";
"00028338 ";"DOCN";"EXP";"DI001 - MEA RPC DOATEX PNPP1150 - 1P2017 DAM";"28/01/16";"01/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRTRA";;;;"APPROUVÉ";"28/01/16";
"00028341 ";"DOCN";"EXP";"DI001 - MEA RPC DOATEX PNPP1150 - 3P2017 DAM";"28/01/16";"01/12/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRTRA";;;;"APPROUVÉ";"28/01/16";
"00028342 ";"DOCN";"EXP";"DI001 - MEA RPC DOATEX PNPP1150 - 4P2018 DAM";"28/01/16";"01/12/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRTRA";;;;"APPROUVÉ";"28/01/16";
"00028355 ";"DOCN";" ";"DI001 - MHA règles de RP - 1234C2017 DAM";"28/01/16";"01/04/17";" ";"PAIDSILD";"PAIDSILD";"DAM";"PASPRPI";;;;"APPROUVÉ";"01/02/16";
"00028357 ";"DOCN";"MEC";"DEROGATION : D455016001144 - 1234P2016 DAM";"28/01/16";"01/11/18";" ";"PAIDSILD";"PAIDSILD";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"06/07/16";
