
"N° PA (lien EAM A010)";"Type de PA";"Discipline";"Libellé du PA";"Date création PA";"Date échéance PA";"Repère équipement";"Site responsable plan d'actions";"Groupe responsable";"Service responsable PA";"Nom responsable PA";"Impact CPP/CSP";"Libellé statut plan d'action";"Date modif statut";"Type de note";"Notes concaténées";
"00004980 ";"DOCN";" ";"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)- 3P2017-DAM";"19/12/13";"27/09/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"26/01/15";"D";" CADRE : MEA de la FA RIS 092 C CONTEXTE : Modif PNPP 1267 tome B APPLICABILITE : CPY DECLINAISON COMPLETE : OUI CHARGE DE TRAVAIL : 10h pour modification chapitre 9 des RGE CHARGE DE TRAVAIL : 10h pour intégration dans doc site CHARGE DE TRAVAIL : 10h pour intégration dans SI site ATTENTION : Liste des actions sur 2 pages (écran A020) FA RIS 092 ind C impossible à rattacher (RDU D305503434142) ILD le 19/12/2013 : CLIP8 partie complémentaire PNPP1267 tome B indD ILD le 19/12/2013 : CLIP8 - pilotage TR1/2015 ILD le 26/06/2015 : report PNPP1267B/D de 2015 à 2017";
"00006563 ";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 1P2015 DAM";"28/01/14";"31/12/19";" ";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"05/03/14";"D";" CLIP 10 - COMMENTAIRES ILD : Périmètre des contôles selon annexe 1 de la DP 312. Echéances : TR1 et TR3 en 2015 - TR2 et TR4 EN 2016";
"00006563 ";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 1P2015 DAM";"28/01/14";"31/12/19";" ";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"05/03/14";"S";"Point d'avancement au 23/09/2015 : Soldé coté Auto (voir NIR en PJ) Point d'avancement au 21/09/2015 : Sur la tranche 1 il reste 1 défaut (1lld800) qui sera traité en 2017 (cf. tableau dans la NIR) Point d'avancement au 11/06/2015 (Corex Elec) : Contrôles en TEM terminé, DT initiés pour corrections sur les arrêts. Un fichier de suivi est réalisé par MTE (NIR en PJ)";
"00006567 ";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 2P2016 DAM";"28/01/14";"31/12/18";" ";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"05/03/14";"D";" CLIP 10 - COMMENTAIRES ILD : Périmètre des contôles selon annexe 1 de la DP 312. Echéances : TR1 et TR3 en 2015 - TR2 et TR4 EN 2016";
"00006567 ";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 2P2016 DAM";"28/01/14";"31/12/18";" ";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"05/03/14";"S";"Point d'avancement au 23/09/2015 : DT 60678 prévue en 2016 coté Auto Coté Elec, rien a faire avant 2016 sur DAM2 Point d'avancement au 11/06/2015 (Corex Elec) : Contrôles en TEM terminé, DT initiés pour corrections sur les arrêts. Un fichier de suivi est réalisé par MTE (NIR joint au PA 6563)";
"00006568 ";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 4P2016 DAM";"28/01/14";"31/12/18";" ";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"05/03/14";"D";" CLIP 10 - COMMENTAIRES ILD : Périmètre des contôles selon annexe 1 de la DP 312. Echéances : TR1 et TR3 en 2015 - TR2 et TR4 EN 2016";
"00006568 ";"DOCN";"ELE";"DI001 - MEA Dérogatoire DP312 - 4P2016 DAM";"28/01/14";"31/12/18";" ";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"05/03/14";"S";"Point d'avancement au 23/09/2015 : prévue n 2016 coté Auto DT 60687. Prévus en 2016 et 2018 coté Elec Point d'avancement au 11/06/2015 (Corex Elec) : Contrôles en TEM terminé, DT initiés pour corrections sur les arrêts. Un fichier de suivi est réalisé par MTE (NIR joint au PA 6563)";
"00006577 ";"DOCN";"VCL";"DI001-PB AM450 14 (0) Ancrage ventilation IPS-1234P2015 DAM";"28/01/14";"30/06/14";" ";"DAM";"PAIDSPRSYS";;;;"APPROUVÉ";"04/02/14";"D";" CADRE : MEA du PB AM450 14 ind 0- Ancrages ventilations IPS CONTEXTE : Contexte de la lettre MEA APPLICABILITE : CPY DECLINAISON COMPLETE : OUI pour la déclinaison EAM CHARGE DE TRAVAIL : 4h pour la déclinaison dans le SI NOTA : Ce Plan d'Actions régularise la production des objets EAM liés à ce PBMP prescrit depuis 2009";
"00006577 ";"DOCN";"VCL";"DI001-PB AM450 14 (0) Ancrage ventilation IPS-1234P2015 DAM";"28/01/14";"30/06/14";" ";"DAM";"PAIDSPRSYS";;;;"APPROUVÉ";"04/02/14";"S";"12/02/2014 : Envoi message note en complément de la messagerie EAM d'affectation de l'action n°2 du PA6577 à Romain DUPONT avec en copie Rajbanshi / Metz / Baudoin Envoi message note au métier avec lien vers les ref plan de gaine pour aide à la mise en application.  Echéance 30/06/2014 14/02/2014 : Message note de F. NOEL vers SFI et MTE avec fichier Excell ""liste exigences et OTM 9E"" : reste à dupliquer sur l'environnement Dampierre. 28/04/2017 : action MTE réouverte suite analyse d'exhaustivité par pilote du prescriptif";
"00006637 ";"DOCN";"IDS";"DI001 - PB900-AP913-01 et 02 ind.2 - 1234P2015  DAM";"10/02/14";"12/02/16";" ";"DAM";"PAIDSPI";;;;"APPROUVÉ";"21/03/14";"A";" AIR: voir document joint référencé D453317003648/A";
"00006637 ";"DOCN";"IDS";"DI001 - PB900-AP913-01 et 02 ind.2 - 1234P2015  DAM";"10/02/14";"12/02/16";" ";"DAM";"PAIDSPI";;;;"APPROUVÉ";"21/03/14";"D";"Validé au CLIP 11 du 05/02/2014 COMMENTAIRES ILD : Prescription à l'indice 2 des PB AP913-01 et 02. Rédefinition du périmètre AP913 aux matériels déjà entretenus au titre d'un PBMP antérieur. réduction du périmètre par suppression de l'entretien des ma tériels orphelins. Stratégie de pilotage proposée par ILD : - 1 PA 6637 pour les 2 PBMP cités - 1 action par spécialité de maintenance - le fichier exel fourni par BMA/SP900 qui liste les PMRQ 9E sur matériels orphelins. Le pilote travaille avec les métier s pour la MHA (Mise Hors Application) des PMRQ DAM sur le périmètre des matériels orphelins. - Echéance proposée par ILD : 30/06/2014 correspond au gel d es programmes pour la campagne 2015 des AT. Nota : le fichier exel BMA/SP qui liste les PMRQ 9E est sous le CR du CLIP11 Justification que les rondes des chargés de composants sont supprimées des PB AP913. Ceci avait déjà été acté dans un COPIL national, mais pas tracé en terme d'évolution de PBMP. Pour rappel même issue pour les rondes des chargés de système qui avaient déja été supprimées.";
"00006643 ";"DOCN";" ";"DI001-DP205 ind6 pose/dépose des shunts RPN uniquement-DAM";"11/02/14";"09/06/18";" ";"DAM";"PAAUTPI";;;;"APPROUVÉ";"11/02/14";"D";" gestion DP205ind6 pour TR1/2015 2P2016, 3P2017,4P2018 pour info, DP205ind5 gérée par PA6642 ======================================================= ILD le 11/04/2016 : reprogrammation PNXX1738 en 2018 en TR2 et TR4";
"00006643 ";"DOCN";" ";"DI001-DP205 ind6 pose/dépose des shunts RPN uniquement-DAM";"11/02/14";"09/06/18";" ";"DAM";"PAAUTPI";;;;"APPROUVÉ";"11/02/14";"I";"Ce PA prend en compte la mise en place des shunts sur RPN travaux déjà réalisés sur les 4 tranches numéros de demande sygma : TR1 A0185668 (06/08/2012) TR2 A0187892 (30/03/2013) - TR3 A0186636 ( 21/09/2012) TR4 A0185696 (06/08/2012) a déposer lors de la réalisation du dossier de modification PNXX1738 (voir références croisées des actions du PA)";
"00006643 ";"DOCN";" ";"DI001-DP205 ind6 pose/dépose des shunts RPN uniquement-DAM";"11/02/14";"09/06/18";" ";"DAM";"PAAUTPI";;;;"APPROUVÉ";"11/02/14";"S";"Ce PA prend la suite de la FA 10144 La DP 205 Ind 06  est a traiter sur les 4 tranches Elle comprend deux actions : -Mise en place de shunts sur fusibles SIP /RPN:Solde en MTI Depose MTI lors de la PNXX1738 DT Nat DT émises - Remplacement 69 modules bailey sur les AT : 1P2015 /DT 45984  -    2P2016 /DT 46682 3P2017/DT46699 -    4P2018/DT 46704 un tableau d'avancement est dispo sous la base lotus SAE Rubrique méthodes /modifs  sous DP 205";
"00006844 ";"DOCN";" ";"[DI001]-MEA de RE DMK indice D (PNPP 1184) 2C2017 DAM";"06/03/14";"31/12/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"03/10/14";"D";" CLIP13 du 05 mars 2013: - création de 1 PA/ tranche ici PA 6844 pour TR2 réalisation PNPP1184 en TR2/2015 selon planning CIPN ================================================= CADRE : MEA de RE DMK indice D CONTEXTE : Modif PNPP1184 + extension applicabilité à CHB3 APPLICABILITE : CPY DECLINAISON COMPLETE : OUI CHARGE DE TRAVAIL : 4h pour modification chapitre 9 des RGE CHARGE DE TRAVAIL : 4h pour intégration dans doc site CHARGE DE TRAVAIL : 2H pour intégration dans SI site Ce PA annule et remplace le PA 3381 : Intégration simultanée à PNPP1184 et non par campagne";
"00006845 ";"DOCN";" ";"[DI001]-MEA de RE DMK indice D (PNPP 1184) 4C2017 DAM";"06/03/14";"31/12/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"03/10/14";"D";" CLIP13 du 05 mars 2013: - création de 1 PA/ tranche ici PA 6845 pour TR4 réalisation PNPP1184 en TR4/2015 selon planning CIPN ================================================= CADRE : MEA de RE DMK indice D CONTEXTE : Modif PNPP1184 + extension applicabilité à CHB3 APPLICABILITE : CPY DECLINAISON COMPLETE : OUI CHARGE DE TRAVAIL : 4h pour modification chapitre 9 des RGE CHARGE DE TRAVAIL : 4h pour intégration dans doc site CHARGE DE TRAVAIL : 2H pour intégration dans SI site Ce PA annule et remplace le PA 3381 : Intégration simultanée à PNPP1184 et non par campagne";
"00009279 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°1 à 108, 03/2012 à 04/2014";"06/06/14";"30/10/14";" ";"DAM";"PAIDSILD";;;;"APPROUVÉ";"06/06/14";"D";" CADRE : GT Intégration des DEDs SDIN CONTEXTE : Relevé de décisions suite à GT du 23 mai 2014 APPLICABILITE : toutes les DEDs SDIN de la période considérée et prescrites au travers des Fiches De Diffusion n°1 à 108 soit jusque fin avril 2014. 1action par spécilaité concernée le métier solde son action soit par NIR (fichier exel des DE Ds SDIN de sa reponsabilité soit en donnat l'info dans son CR que l'ensemble des DEDs re levant de sa spécialité sont intégrées dans l'espace DAM";
"00009375 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°109 à 113 Mai 2014";"18/06/14";"31/08/14";" ";"DAM";"PAIDSILD";;;;"APPROUVÉ";"18/06/14";"D";" CADRE : GT Intégration des DEDs SDIN CONTEXTE : Relevé de décisions suite à GT du 23 mai 2014 APPLICABILITE : toutes les DEDs SDIN de la période considérée et prescrites au travers des Fiches De Diffusion n°109 à 113 soit jusque fin Mai 2014. 1action par spécilaité concernée le métier solde son action soit par NIR (fichier exel des DE Ds SDIN de sa reponsabilité soit en donnat l'info dans son CR que l'ensemble des DEDs re levant de sa spécialité sont intégrées dans l'espace DAM";
"00009712 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°114 à 117 Juin 2014";"23/07/14";"30/09/14";" ";"DAM";"PAIDSILD";;;;"APPROUVÉ";"24/07/14";"D";" CADRE : GT Intégration des DEDs SDIN CONTEXTE : Relevé de décisions suite à GT du 23 mai 2014 APPLICABILITE : toutes les DEDs SDIN de la période considérée et prescrites au travers des Fiches De Diffusion n°114 à 117 soit jusque fin Juin 2014. 1action par spécilaité concernée le métier solde son action soit par NIR (fichier exel des DE Ds SDIN de sa reponsabilité soit en donnat l'info dans son CR que l'ensemble des DEDs re levant de sa spécialité sont intégrées dans l'espace DAM";
"00009866 ";"DOCN";" ";"MODELE DI001 - TITRE - 1234C2016 DAM";"04/08/14";"31/12/99";" ";"DAM";"PAIDSILD";;;;"NOUVEAU";"04/08/14";"D";" COMMENTAIRES ILD AU CLIP XX DU XX/XX/2016 :";
"00009881 ";"DOCN";" ";"DI001-DP205 ind.7 Actions de réduction des AAR-1234C2017 DAM";"04/08/14";"31/12/17";" ";"DAM";"PAAUTPI";;;;"APPROUVÉ";"21/08/14";"D";" COMMENTAIRES ILD AU CLIP 22 DU 30/07/2014 : Accélération de la stratégie de remplacement des modules Bailey et mise à jour de la liste des matériels sensibles au risque AAR. 1 PA, pilote SAE (PAAUTPI), 1 action TR1, 1action TR2, 1 action TR3, 1action TR4, éch 31/12/2017  : Analyse en cours coté SP : peut être des OTM à complèter avec cette DP205 ind7 (si extension de modules rentrant dans la liste des matériels sensibles AAR) XXXXXXXXXXXXXXXXXXXXXXXXXX COMMENTAIRE ILD AU CLIP 43 DU 10/06/2015 : Demande de DAM acceptée par UNIE, particularité de DAM d'orienter la régul sur le SIP 4 au lieu du SIP3. Possibilité de déroger au remplacement des modules de régul du SIP3. A la relecture de la DP205ind7, ILD comprend que la VP TR1/2015 est concernée. Ajouter la dérog au PA ( 9881) qui pilote la DP ind7 (renseigner les écrans ""description"" + ""documents"")";
"00010970 ";"DOCN";" ";"DI001 - REX CL4 D0900CP1400050 - 1P2017 DAM";"09/09/14";"01/07/17";" ";"DAM";"PAIDSPRTRA";;;;"APPROUVÉ";"11/09/14";"D";" COMMENTAIRES ILD AU CLIP 24 DU 03/09/2014 : Déclinaison de la RPC GC (FA10385). CGE à mettre en application en même temps que les modifications GC. Création de 3 CGE spécifiques GC et mise à jour de 3 CGE PIL.  Création de 4 PA (TR1/2015 éch 04/07/2015, TR2/2016 éch 19/03/2016; TR3/2015 éch 19/09/2015, TR4/2014 éch : 31/12/2014), pilote PAIDSPI (D Mante pour PL Pommier), 1 action SCO, 1 action SSI. La FA10385 est à clore, la RPC GC étant maintenant pilotée avec ces 4 PA. ILD le 19/02/2015 : TR1 reportée en 2017";
"00011088 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°118 à 121 Juillet 2014";"17/09/14";"31/10/14";" ";"DAM";"PAIDSILD";;;;"APPROUVÉ";"17/09/14";"D";" CADRE : GT Intégration des DEDs SDIN CONTEXTE : Relevé de décisions suite à GT du 23 mai 2014 APPLICABILITE : toutes les DEDs SDIN de la période considérée et prescrites au travers des Fiches De Diffusion n°118 à 121 soit jusque fin Juillet 2014. 1action par spécilaité concernée le métier solde son action soit par NIR (fichier exel des DE Ds SDIN de sa reponsabilité soit en donnat l'info dans son CR que l'ensemble des DEDs re levant de sa spécialité sont intégrées dans l'espace DAM";
"00011092 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°122 à 126 Aout 2014";"18/09/14";"30/11/14";" ";"DAM";"PAIDSILD";;;;"APPROUVÉ";"18/09/14";"D";" CADRE : GT Intégration des DEDs SDIN CONTEXTE : Relevé de décisions suite à GT du 23 mai 2014 APPLICABILITE : toutes les DEDs SDIN de la période considérée et prescrites au travers des Fiches De Diffusion n°122 à 126 soit jusque fin Aout 2014. 1action par spécilaité concernée le métier solde son action soit par NIR (fichier exel des DE Ds SDIN de sa reponsabilité soit en donnat l'info dans son CR que l'ensemble des DEDs re levant de sa spécialité sont intégrées dans l'espace DAM";
"00011196 ";"DOCN";"ENV";"DI001 - DT 350 indice 1 - 1234C2017 DAM";"25/09/14";"31/12/17";" ";"DAM";"PAIDSPRTRA";;;;"APPROUVÉ";"29/09/14";"D";" COMMENTAIRES ILD AU CLIP 25 DU 18/09/2014 : Extension de la DT350 ind0 aux sites 900. avant le 31/12/2017, avoir visité l'ensemble des puisards selon type et liste contenus dans le courrier. Sous 6 mois une formation locale pour la gestion des puisards avec cuvelage en acier inoxydable, selon module UFPI utilisé à GOL( voir annexe DT350..). Création d'1 PA 1234C2017, pilote PAIDSPI (D.Mante pour M.Decaux) éch : 31/12/2017, 1 action SSI libéllée ""1234C2015 : formation des agents sous 6 mois"" avec éch : 02/04/2015; , 1 action SLT éch 31/12/2017). ILD le 31/10/2014 : il s'agit d'une action SFI pour piloter la formation UFPI ILD le 06 mai 2015 : mise à jour du PA à la demande de D Mante (ajoute analyse NIR) COMMENTAIRE ILD AU CLIP 47 DU 16/09/2015 Dérogation qui présente un intérêt pour le pilote de la DT350. Cette dérogation sera ajoutée au PA existant 11196 (mettre à jour l'écran Description de cette analyse + l'écran documents) ============================================================ CLIP62 du 20 avrl 2016 : La SP a identifié ( livré dans PA Palier 32207)la mise à jour d'exigences DT350 à ajouter à des activités préventives AUTO. Des PMRQ palier ont donc été mis à jour. Nous avions crée un PA DAM 11196 pour cette DT350 indice 1. ILD propose la mise à jour de ce PA11196 par ajout d'une action AU pour maj des exigences des PMRQ DAM touchés selon liste fournie par le PA32207 Palier.";
"00011248 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°127 à 130 Septembre 2014";"29/09/14";"31/12/14";" ";"DAM";"PAIDSILD";;;;"APPROUVÉ";"29/09/14";"D";" CADRE : GT Intégration des DEDs SDIN CONTEXTE : Relevé de décisions suite à GT du 23 mai 2014 APPLICABILITE : toutes les DEDs SDIN de la période considérée et prescrites au travers des Fiches De Diffusion n°127 à 130 soit jusque fin Aout 2014. 1action par spécilaité concernée le métier solde son action soit par NIR (fichier exel des DE Ds SDIN de sa reponsabilité soit en donnat l'info dans son CR que l'ensemble des DEDs re levant de sa spécialité sont intégrées dans l'espace DAM";
"00013557 ";"DOCN";" ";"Mise en application déclinant la PNXX 1738- 2P2018- DAM";"04/11/14";"30/06/18";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"17/11/14";"D";" COMMENTAIRES ILD DU 04/11/2014 : PNXX1738 est une modif lot VD3 qui a été repoussée depuis 2010. Mise en oeuvre en 2016 sur la TR2. Les CL4 ont été prescrits dans le courrier D0900CP000007, les objets SDIN ont été déclinés par BMA à l'époque. ILD a donné la liste des OTM à P.Crozat (liste issue de BLA). Ce PA annule et remplace la FA 7343 Ce PA pilote la Tr2 uniquement ILD le 02/04/2015 : Pilotage CH9 =========================================================== ILD le 10/02/2016 : Décision d'annulation de la VP/2016 et report suite à ESS TR1(courrier EDF D455016009855)";
"00013557 ";"DOCN";" ";"Mise en application déclinant la PNXX 1738- 2P2018- DAM";"04/11/14";"30/06/18";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"17/11/14";"S";"PS : Affectation du PA après réalisation de la mise à jour Mise à jour des STE des 4 tranches le 5/9/14 dès réception du DA par email (envoi par CIPN directement). Transmission à la frappe le 5/9/14. Auto contrôles et contrôles et circuits de signatures réalisés entre le 17 et le 19/09/2014. Mise en place réalisée le 29/09/2014. Les STE tr 1, 2, 3 et 4 passent respectivement aux indices r, p, q, et t. Modification de la date d'échénace du PA pour coller avec la date de fin de l'arrêt de tranche";
"00013558 ";"DOCN";" ";"Mise en application déclinant la PNXX 1738- 4P2018 - DAM";"04/11/14";"28/05/18";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"17/11/14";"D";" COMMENTAIRES ILD DU 04/11/2014 : PNXX1738 est une modif lot VD3 qui a été repoussée depuis 2010. Mise en oeuvre en 2016 sur la TR4. Les CL4 ont été prescrits dans le courrier D0900CP000007, les objets SDIN ont été déclinés par BMA à l'époque. ILD a donné la liste des OTM à P.Crozat (liste issue de BLA). Ce PA annule et remplace la FA 7343 Ce PA pilote la Tr4 uniquement ILD le 02/04/2015 : Pilotage CH9 =========================================================== ILD le 10/02/2016 : Information du report en 2018 en TR4 suite à ESS en TEM TR1/2015";
