
"N° PA";"Type PA";"Spéc";"Libellé du PA";"Site";"Grp Resp";"Ech. PA";"Statut";"Date";;"A";"D";"I";"S";
"00063297 ";"DOCN";" ";"DI001-MEA REG ESSAI NON RGE MES POTAS HYDRA - 1234C2017 DAM";"DAM";"PALABPI";"31/12/17";"NOTIFIÉ";"19/05/17";;;"1";;;
"00063302 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°262 à 263 MAI 2017";"DAM";"PAIDSILD";"15/07/17";"APPROUVÉ";"19/05/17";;;"1";;;
"00063333 ";"DOCN";" ";"DI001- REX spécifique P2 DED GRA DSI 16 0002 - 1234C2017 DAM";"DAM";"PACHAPI";"31/12/17";"NOTIFIÉ";"19/05/17";;;"1";;;
"00063376 ";"DOCN";"SIR";"[PIE] - récipient 1JPT401BA 2017";"DAM";"PASIRPI";"20/11/17";"APPROUVÉ";"18/05/17";;;"1";;;
"00062125 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°260 à 261 MAI 2017";"DAM";"PAIDSILD";"28/06/17";"APPROUVÉ";"05/05/17";;;"1";;;
"00062176 ";"DOCN";" ";"DI001 - PROG INVESTI COMPL VD4 PAL900 CPP-CSP -1D21-4P22 DAM";"DAM";"PAIDSPRTRA";"15/05/21";"APPROUVÉ";"05/05/17";;;"1";;;
"00062183 ";"DOCN";" ";"DI001 - ANALYSE OPPORT REMPL MATER MQCA - 1234C2017 DAM";"DAM";"PAIDSPRTRA";"31/08/17";"APPROUVÉ";"05/05/17";;;"1";;;
"00062187 ";"DOCN";"CHA";"DEROGATION : D455016076246 - 1234C2017 DAM";"DAM";"PAIDSPRCOM";"25/07/17";"APPROUVÉ";"05/05/17";;;"1";;;
"00062193 ";"DOCN";"CHA";"DI001-MEA PROG PLU ZONE INCO CPP2017-2019 TPAL-1234C2017 DAM";"DAM";"PAIDSPRCOM";"31/12/17";"APPROUVÉ";"05/05/17";;"1";"1";;;
"00062211 ";"DOCN";" ";"DI001- MEA de Réglement ESPN EH Tuyaut EAS - 1234C2017 DAM";"DAM";"PACHAPI";"01/03/18";"NOTIFIÉ";"05/05/17";;;"1";;;
"00062213 ";"DOCN";"CHA";"DEROGATION : D455017008642 - 4P2018 DAM";"DAM";"PAIDSPRCOM";"30/06/17";"APPROUVÉ";"05/05/17";;;"1";;;
"00061731 ";"DOCN";"SIR";"[PIE] - fonction AHP606TY 1234P 2017-2018";"DAM";"PASIRPI";"08/09/17";"APPROUVÉ";"28/04/17";;;"1";;;
"00061660 ";"DOCN";"SIR";"[PIE] - récipient 4GSY 101 102 201 202 301 302BA -2017";"DAM";"PASIRPI";"24/10/17";"APPROUVÉ";"27/04/17";;;"1";;;
"00061404 ";"DOCN";"CHA";"DI001- MEA STRA MAINT. COLM./ENCR. GV TPAL - 1234C2017 DAM";"DAM";"PAIDSPRCOM";"31/12/17";"APPROUVÉ";"25/04/17";;"1";"1";;;
"00061407 ";"DOCN";" ";"DI001-MEA RPRS RES. EAU CHAUDE-LEGIONEL. TPAL-1234C2017 DAM";"DAM";"PASPRPI";"31/12/17";"APPROUVÉ";"25/04/17";;;"1";;;
"00061405 ";"DOCN";" ";"DI001- MEA gammes mutual suite REX d'exploit - 1234C2017 DAM";"DAM";"PACHAPI";"31/12/17";"APPROUVÉ";"24/04/17";;;"1";;;
"00061439 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°258 à 259 AVR 2017";"DAM";"PAIDSILD";"07/06/17";"APPROUVÉ";"24/04/17";;;"1";;;
"00059002 ";"DOCN";" ";"DI001-MEA FA EPP 029 INDICE C - IPCTEM2018 DAM";"DAM";"PASURPRCH9";"31/12/17";"APPROUVÉ";"21/04/17";;;"1";;;
"00059009 ";"DOCN";" ";"DI001 - MEA FA RCV 042 INDICE C PALIER CPY - 1234C2017 DAM";"DAM";"PASURPRCH9";"31/12/17";"APPROUVÉ";"21/04/17";;;"1";;;
"00061302 ";"DOCN";"SIR";"[PIE] - récipient SES001 002 EX 89 2017-2018";"DAM";"PASIRPI";"20/10/17";"APPROUVÉ";"21/04/17";;;"1";;;
"00060092 ";"DOCN";"CHA";"DI001-MEA STRA SURVEI CORROSION  EROSION CSP - 1234C2017 DAM";"DAM";"PAIDSPRCOM";"31/12/17";"APPROUVÉ";"10/04/17";;;"1";;;
"00059730 ";"DOCN";"SIR";"[PIE] - fonction AHP009TY 1234P 2018-2019";"DAM";"PASIRPI";"06/10/17";"APPROUVÉ";"06/04/17";;;"1";;;
"00059734 ";"DOCN";"SIR";"[PIE] - fonction AHP010TY 1234P 2018-2019";"DAM";"PASIRPI";"06/10/17";"APPROUVÉ";"06/04/17";;;"1";;;
"00059737 ";"DOCN";"SIR";"[PIE] - fonction AHP612TY 1234P 2018-2019";"DAM";"PASIRPI";"06/10/17";"APPROUVÉ";"06/04/17";;;"1";;;
"00060104 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°256 à 257 AVR 2017";"DAM";"PAIDSILD";"31/05/17";"APPROUVÉ";"06/04/17";;;"1";;;
"00059013 ";"DOCN";" ";"DI001 - PLMP SEH ind.2 - 1234C2017 DAM";"DAM";"PAIDSPRTRA";"01/11/17";"APPROUVÉ";"05/04/17";;;"1";;;
"00056517 ";"DOCN";" ";"DI001 - MEA INSTRUC TEMPOR SURETE PNPP1490 - 1C2017 DAM";"DAM";"PASURPRCH6";"15/12/17";"APPROUVÉ";"31/03/17";;;"1";;"1";
"00056518 ";"DOCN";" ";"DI001 - MEA INSTRUC TEMPOR SURETE PNPP1490 - 2C2017 DAM";"DAM";"PASURPRCH6";"17/11/17";"APPROUVÉ";"31/03/17";;;"1";;"1";
"00056521 ";"DOCN";" ";"DI001 - MEA INSTRUC TEMPOR SURETE PNPP1490 - 4C2017 DAM";"DAM";"PASURPRCH6";"01/12/17";"APPROUVÉ";"31/03/17";;;"1";;"1";
"00058987 ";"DOCN";" ";"DI001- MEA FA REN 019 et NEC PNPPi632 - 1P2017 DAM";"DAM";"PASURPRCH9";"01/07/17";"APPROUVÉ";"28/03/17";;;"1";;;
"00058989 ";"DOCN";" ";"DI001- MEA FA REN 019 et NEC PNPPi632 - 3P2017 DAM";"DAM";"PASURPRCH9";"29/09/17";"APPROUVÉ";"28/03/17";;;"1";;;
"00058991 ";"DOCN";" ";"DI001- MEA FA REN 019 et NEC PNPPi632 - 2P2018 DAM";"DAM";"PASURPRCH9";"31/03/18";"APPROUVÉ";"28/03/17";;;"1";;;
"00058993 ";"DOCN";" ";"DI001- MEA FA REN 019 et NEC PNPPi632 - 4P2018 DAM";"DAM";"PASURPRCH9";"09/06/18";"APPROUVÉ";"28/03/17";;;"1";;;
"00059220 ";"DOCN";"SIR";"[PIE] - fonction SAP001 002BA 1234P 2017";"DAM";"PASIRPI";"28/09/17";"APPROUVÉ";"28/03/17";;;"1";;;
"00059006 ";"DOCN";" ";"DI001-MEA REGLES GENE SURV ENT PNPPi675 TPAL - 1234C2017 DAM";"DAM";"PAIDSPRTRA";"31/12/17";"APPROUVÉ";"27/03/17";;;"1";;;
"00059016 ";"DOCN";" ";"ARRET TRANSMISSION MESSAGE ALERTE PREVI G.FR - 1234C2017 DAM";"DAM";"PAIDSPRTRA";"01/11/17";"APPROUVÉ";"27/03/17";;;"1";;;
"00059118 ";"DOCN";"SIR";"[PIE] - X GRV002-003 BA P TR1-2-3-4 2016-2017";"DAM";"PASIRPI";"27/09/17";"APPROUVÉ";"27/03/17";;;"1";;;
"00059011 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°254 à 255 MARS 2017";"DAM";"PAIDSILD";"20/05/17";"APPROUVÉ";"24/03/17";;;"1";;;
"00058633 ";"DOCN";"SIR";"[PIE] - X SAP001-002 DS 1et 2 2016-2017";"DAM";"PASIRPI";;"NOUVEAU";"20/03/17";;;"1";;;
"00058639 ";"DOCN";"SIR";"[PIE] - X SAP001-002 DS 1et 2 TR1-2-3-4 2016-2017";"DAM";"PASIRPI";"10/09/17";"APPROUVÉ";"20/03/17";;;"1";;;
"00047824 ";"DOCN";" ";"DI001 - MEA PP58 SEANCE D ACCUEIL PRESTA - 1234C2017 DAM";"DAM";"PASPRPI";"16/03/17";"APPROUVÉ";"16/03/17";;;"1";;;
"00058100 ";"DOCN";"SIR";"[PIE] - fonction GPV072TY 1234P 2018-2019";"DAM";"PASIRPI";"15/09/17";"APPROUVÉ";"15/03/17";;;"1";;;
"00058105 ";"DOCN";"SIR";"[PIE] - fonction AHP600TY-1 1234P 2018-2019";"DAM";"PASIRPI";"15/09/17";"APPROUVÉ";"15/03/17";;;"1";;;
"00058113 ";"DOCN";"SIR";"[PIE] - fonction AHP600TY-2 24P 2018";"DAM";"PASIRPI";"15/09/17";"APPROUVÉ";"15/03/17";;;"1";;;
"00057771 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°252 ET 253 FEV 2017";"DAM";"PAIDSILD";"27/04/17";"APPROUVÉ";"09/03/17";;;"1";;;
"00055279 ";"DOCN";" ";"DI001-MEA DA SI COLLAB FAS PUI ET PAM TPAL 1234C2016 DAM";"DAM";"PASURPRCRI";"03/04/17";"APPROUVÉ";"08/03/17";;;"1";;"1";
"00056611 ";"DOCN";"CHA";"DI001 - MAINTEN PREVENT ANCRAGES CHEVILLES - 1234P2017 DAM";"DAM";"PAIDSPRCOM";"09/06/18";"APPROUVÉ";"01/03/17";;"1";"1";;;
"00056494 ";"DOCN";" ";"DI001 - PROJET PSAD AVANC ACTIONS VALIDEES - 1234C2017 DAM";"DAM";"PAAUTPI";"31/12/17";"APPROUVÉ";"27/02/17";;;"1";;;
"00056502 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°250 à 251 FEV 2017";"DAM";"PAIDSILD";"13/04/17";"APPROUVÉ";"24/02/17";;;"1";;;
"00056509 ";"DOCN";" ";"DI001-MEA FA DVK005 IN B FA KRT033 IN B PNPP1490-1C2017 DAM";"DAM";"PASURPRCH9";"31/12/17";"APPROUVÉ";"24/02/17";;;"1";;"1";
"00056510 ";"DOCN";" ";"DI001-MEA FA DVK005 IN B FA KRT033 IN B PNPP1490-2C2017 DAM";"DAM";"PASURPRCH9";"12/11/17";"APPROUVÉ";"24/02/17";;;"1";;;
"00056512 ";"DOCN";" ";"DI001-MEA FA DVK005 IN B FA KRT033 IN B PNPP1490-3C2017 DAM";"DAM";"PASURPRCH9";"31/05/17";"APPROUVÉ";"24/02/17";;;"1";;"1";
"00056514 ";"DOCN";" ";"DI001-MEA FA DVK005 IN B FA KRT033 IN B PNPP1490-4C2017 DAM";"DAM";"PASURPRCH9";"26/11/17";"APPROUVÉ";"24/02/17";;;"1";;;
"00056463 ";"DOCN";" ";"DEROG-DEROGATION";"DAM";;;"NOUVEAU";"22/02/17";"0";;;;;
"00055496 ";"DOCN";"SIR";"[PIE] - fonction AHP003TY 1234P 2017-2018-2019";"DAM";"PASIRPI";"17/08/17";"APPROUVÉ";"17/02/17";;;"1";;;
"00055501 ";"DOCN";"SIR";"[PIE] - fonction AHP004TY 1234P 2017-2018-2019";"DAM";"PASIRPI";"17/08/17";"APPROUVÉ";"17/02/17";;;"1";;;
"00055505 ";"DOCN";"SIR";"[PIE] - fonction AHP007TY 1234P 2017-2018-2019";"DAM";"PASIRPI";"17/08/17";"APPROUVÉ";"17/02/17";;;"1";;;
"00055506 ";"DOCN";"SIR";"[PIE] - fonction AHP008TY 1234P 2017-2018-2019";"DAM";"PASIRPI";"17/08/17";"APPROUVÉ";"17/02/17";;;"1";;;
"00055251 ";"DOCN";"ELE";"DI001 - MEA FA01 AP913 1 ET 2 IND 3 - 1234C2017 DAM";"DAM";"PAIDSPRCOM";"31/12/17";"APPROUVÉ";"14/02/17";;;"1";;"1";
"00055258 ";"DOCN";"ELE";"DEROGATION : D455016081777 - 1234C2016 DAM";"DAM";"PAIDSPRCOM";"10/05/17";"APPROUVÉ";"14/02/17";;;"1";;;
"00055266 ";"DOCN";"AUT";"DI001 -AFT16.06 RGL COMMANDITE CTRL CABLE PAC - 2P2018 DAM";"DAM";"PAIDSPRCOM";"31/08/19";"APPROUVÉ";"14/02/17";;;"1";;;
"00055287 ";"DOCN";"CHA";"DI001-PREDIFF PBMP PB MAT TPAL AM450-01 IND 0- 2P2018 DAM";"DAM";"PAIDSPRCOM";"30/06/17";"APPROUVÉ";"14/02/17";;"1";"1";;;
"00055248 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°248 & 249 FEV 2017";"DAM";"PAIDSILD";"16/03/17";"APPROUVÉ";"13/02/17";;;"1";;;
"00054219 ";"DOCN";"SIR";"[PIE] - fonction ABP060TY 1234P 2017-2018-2019";"DAM";"PASIRPI";"02/08/17";"APPROUVÉ";"02/02/17";;;"1";;;
"00054231 ";"DOCN";"SIR";"[PIE] - fonction ABP061TY 1234P 2017-2018-2019";"DAM";"PASIRPI";"02/08/17";"APPROUVÉ";"02/02/17";;;"1";;;
"00054239 ";"DOCN";"SIR";"[PIE] - fonction GCT606TY-B 2P 2018";"DAM";"PASIRPI";"01/08/17";"APPROUVÉ";"01/02/17";;;"1";;;
"00054171 ";"DOCN";"SIR";"[PIE] - récipient GSS x01 BA 1234P 2017-2018-2019";"DAM";"PASIRPI";"31/07/17";"APPROUVÉ";"31/01/17";;;"1";;;
"00047961 ";"DOCN";" ";"DI001 - MEA GAM MUTUALIS SUITE REX EXP - 1234C2016 DAM";"DAM";"PAAUTPI";"31/01/17";"APPROUVÉ";"30/01/17";;;"1";;"1";
"00054022 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°245 à 247 JAN 2017";"DAM";"PAIDSILD";"16/03/17";"APPROUVÉ";"27/01/17";;;"1";;;
"00046262 ";"DOCN";" ";"DI001 - MEA PROGR BASE MAINT PREVENT SDM - 1234C2017 DAM";"DAM";"PAIPEPI";"30/06/17";"APPROUVÉ";"16/01/17";;"1";"1";;;
"00053027 ";"DOCN";"SIR";"[PIE] - récipient AGR-GFR-GGR 1234P 2017-2018-2019";"DAM";"PASIRPI";"16/07/17";"APPROUVÉ";"16/01/17";;;"1";;;
"00053215 ";"DOCN";"SIR";"[PIE] - récipient ABP 40X RE C/F 1234P 2017-2018-2019";"DAM";"PASIRPI";"16/07/17";"APPROUVÉ";"16/01/17";;;"1";;;
"00051231 ";"DOCN";"ROB";"DI001 - ROB/CLAP ISOL TUY CANAL REJET ENVIRO - 1234C2016 DAM";"DAM";"PAIDSPRCOM";"30/06/17";"APPROUVÉ";"10/01/17";;"1";"1";;;
"00050507 ";"DOCN";" ";"DI001- MEA de DA STE RPR IPCTEM2017 DAM";"DAM";"PASURPRCH3";"30/06/17";"APPROUVÉ";"09/01/17";;;"1";;;
"00052533 ";"DOCN";" ";"DI001 - MEA REPR PUISS NULLE CHAP X RGE - 1234C2017 DAM";"DAM";"PASURPRCH1";"31/12/17";"NOTIFIÉ";"06/01/17";;;"1";;;
"00051458 ";"DOCN";"CHA";"DI001 - MEA PB900 AM450 08 ind.0 - PBMP Ancrage - Local DAM";"DAM";"PAIDSPRCOM";"06/01/17";"APPROUVÉ";"05/01/17";;"1";"1";;;
"00052549 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°242 à 244 JANV 2017";"DAM";"PAIDSILD";"16/02/17";"APPROUVÉ";"05/01/17";;;"1";;;
"00050916 ";"DOCN";"SIR";"[PIE] - récipient GHE001DZ 1234P 2017-2018";"DAM";"PASIRPI";"28/06/17";"APPROUVÉ";"28/12/16";;;"1";;;
"00021063 ";"DOCN";"SIR";"[PIE] - fonction AHP009TY 1234P 2016-2017";"DAM";"PASIRPI";"24/09/15";"APPROUVÉ";"27/12/16";;;"1";;;
"00021148 ";"DOCN";"SIR";"[PIE] - fonction AHP010TY 1234P 2016-2017";"DAM";"PASIRPI";"24/09/15";"APPROUVÉ";"27/12/16";;;"1";;;
"00036934 ";"DOCN";"CHA";"DI001 - MEA RNM TPAL AM 450-09 IND 2 - 1234P2018 DAM";"DAM";"PAIDSPRCOM";"30/06/17";"APPROUVÉ";"20/12/16";;"1";"1";;"1";
"00051366 ";"DOCN";"SIR";"[PIE] - récipient X STR 001 TX C et F 1234P 2016-2017";"DAM";"PASIRPI";"30/05/17";"APPROUVÉ";"20/12/16";;;"1";;;
"00042696 ";"DOCN";"GCV";"DI001 - MEA PBMP REFREGERANTS ATMOSPHERIQUE - 1234C2016 DAM";"DAM";"PAIPEPI";"30/06/17";"APPROUVÉ";"19/12/16";;"1";"1";;;
"00051202 ";"DOCN";" ";"DI001 - DP331 - FREINAGE VISSERIE MAT EIP - 13P17-24P18 DAM";"DAM";"PAIDSPRTRA";"31/12/17";"APPROUVÉ";"19/12/16";;;"1";;"1";
"00051226 ";"DOCN";"CHA";"DI001 - DP320-MEA CTRL TV RECH FISSURAT-13P2017-24P2018 DAM";"DAM";"PAIDSPRCOM";"15/08/18";"APPROUVÉ";"19/12/16";;"1";"1";;;
"00051201 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°240 à 241 DEC 2016";"DAM";"PAIDSILD";"05/02/17";"APPROUVÉ";"16/12/16";;;"1";;;
"00050505 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°238 à 239 DEC 2016";"DAM";"PAIDSILD";"31/01/17";"APPROUVÉ";"02/12/16";;;"1";;;
